Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients,abstract
25637322,No," Priscilla Y Hsue Affiliation=Division of Cardiology, San Francisco General Hospital, San Francisco, California.,","Impact of female sex on lipid lowering, clinical outcomes, and adverse effects in atorvastatin trials.",The American journal of cardiology,2015 Feb 15,MANAG,Human,39173,"The aim of this study was to evaluate the effect of atorvastatin on lipid lowering, cardiovascular (CV) events, and adverse events in women compared with men in 6 clinical trials. In the Incremental Decrease in End Points Through Aggressive Lipid Lowering (IDEAL) trial (atorvastatin 80 mg vs simvastatin 20 to 40 mg), the Treating to New Targets (TNT) trial (atorvastatin 80 vs 10 mg), the Stroke Prevention by Aggressive Reduction in Cholesterol Levels (SPARCL) trial (atorvastatin 80 mg vs placebo), and the Collaborative Atorvastatin Diabetes Study (CARDS), the Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT), and the Atorvastatin Study for Prevention of Coronary Heart Disease Endpoints in Non-Insulin-Dependent Diabetes Mellitus (ASPEN) (atorvastatin 10 mg vs placebo), lipid changes on treatment were compared between genders with studies grouped by dose. The association of on-study low-density lipoprotein (LDL) cholesterol and CV events by gender was evaluated in the combined studies and the impact of gender on adverse events in each study separately. Major CV events occurred in 3,083 of 30,000 men (10.3%) and 823 of 9,173 women (9.0%). Changes in lipids were similar in women and men. Major CV events were associated with gender-specific quintiles of on-treatment LDL cholesterol for women and men. In women, LDL cholesterol was a significant predictor of stroke, but not in men. Discontinuation rates due to adverse events were higher in women in 4 of 6 trials, but in only 1 trial was a significant treatment-gender interaction seen. Myalgia rates were slightly higher in women in both statin and placebo groups. In conclusion, the response of women to atorvastatin was similar to that of men, with slightly more discontinuations due to adverse events. Higher on-treatment LDL cholesterol was significantly associated with more CV events in both genders, but the association was stronger for stroke in women and for coronary heart disease death in men."
25550372,No," Fumi Irie Affiliation=From the Department of Medicine and Clinical Science (F.I., J.H., R.M., Y.W., J.K., T.A., T.K.), Department of Health Care Administration and Management (M.K., R.M.), and Center for Cohort Studies (M.K., J.H., T.K.), Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan,",Sex differences in short-term outcomes after acute ischemic stroke: the fukuoka stroke registry.,"Stroke, a journal of cerebral circulation",2015 Feb,OUTC,Human,6236,"Variable sex differences in clinical outcomes after stroke have been reported worldwide. This study aimed to elucidate whether sex is an independent risk factor of poor functional outcome after acute ischemic stroke.Using the database of patients with acute stroke registered in the Fukuoka Stroke Registry in Japan from 1999 to 2013, 6236 previously independent patients with first-ever ischemic stroke who were admitted within 24 hours of onset were included in this study. Baseline characteristics were assessed on admission. Study outcomes included neurological improvement, neurological deterioration, and poor functional outcome (modified Rankin Scale score, 3-6 at discharge). Logistic regression analyses were performed to evaluate the association between sex and clinical outcomes.Overall, 2398 patients (38.5%) were women. Severe stroke (National Institutes of Health Stroke Scale score, â‰¥8) on admission was more prevalent in women than in men. The frequency of neurological improvement or deterioration during hospitalization was not different between the sexes. After adjusting for possible confounders, including age, stroke subtype and severity, risk factors, and poststroke treatments, it was found that female sex was independently associated with poor functional outcome at discharge (odds ratio, 1.30; 95% confidence interval, 1.08-1.57). There was heterogeneity of the association between sex and poor outcome according to age: women had higher risk of poor outcome than men among patients aged â‰¥70 years, but no clear sex difference was found in patients aged <70 years.Female sex was associated with the risk of poor functional outcome at discharge after acute ischemic stroke."
25388681,No," Bharti Manwani Affiliation=Department of Neurology and Neuroscience, University of Connecticut Health Center, Farmington, Connecticut, USA.,","Sex differences in ischemic stroke sensitivity are influenced by gonadal hormones, not by sex chromosome complement.",Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2015 Feb,PP,Mouse,na,"Epidemiologic studies have shown sex differences in ischemic stroke. The four core genotype (FCG) mouse model, in which the testes determining gene, Sry, has been moved from Y chromosome to an autosome, was used to dissociate the effects of sex hormones from sex chromosome in ischemic stroke outcome. Middle cerebral artery occlusion (MCAO) in gonad intact FCG mice revealed that gonadal males (XXM and XYM) had significantly higher infarct volumes as compared with gonadal females (XXF and XYF). Serum testosterone levels were equivalent in adult XXM and XYM, as was serum estrogen in XXF and XYF mice. To remove the effects of gonadal hormones, gonadectomized FCG mice were subjected to MCAO. Gonadectomy significantly increased infarct volumes in females, while no change was seen in gonadectomized males, indicating that estrogen loss increases ischemic sensitivity. Estradiol supplementation in gonadectomized FCG mice rescued this phenotype. Interestingly, FCG male mice were less sensitive to effects of hormones. This may be due to enhanced expression of the transgene Sry in brains of FCG male mice. Sex differences in ischemic stroke sensitivity appear to be shaped by organizational and activational effects of sex hormones, rather than sex chromosomal complement. "
25671072,No," Chol Shin Affiliation=Department of Internal Medicine, Korea University Ansan Hospital, Ansan 425-707, Korea. ,",Sex-specific differences in the association of a common aldehyde dehydrogenase 2 gene polymorphism and alcohol consumption with stroke risk in a Korean population: a prospective cohort study.,Nutrition research and practice,2015 Feb,EPI,Human,8465,"It is well-known that alcohol consumption is associated with stroke risk as well as with aldehyde dehydrogenase 2 gene (ALDH2) polymorphisms. However, it is unclear whether ALDH2 polymorphisms are associated with stroke risk independent of alcohol consumption and whether such association is modified by sex. We evaluated sex-specific associations of a common ALDH2 polymorphism and alcohol consumption with stroke risk in a Korean population.We conducted a prospective cohort study involving 8,465 men and women, aged 40-69 years and free of stroke between June, 2001 and January, 2003, and followed for the development of stroke. We identified new cases of stroke, which were self-reported or ascertained from vital registration data. Based on genome-wide association data, we selected a single-nucleotide polymorphism (rs2074356), which shows high linkage disequilibrium with the functional polymorphism of ALDH2. We conducted Cox proportional hazards regression analysis considering potential risk factors collected from a baseline questionnaire.Over the median follow-up of 8 years, 121 cases of stroke were identified. Carrying the wild-type allele of the ALDH2 polymorphism increased stroke risk among men. The multivariate hazard ratio [95% confidence interval] of stroke was 2.02 [1.03-3.99] for the wild-type allele compared with the mutant alleles, but the association was attenuated after controlling for alcohol consumption. Combinations of the wild-type allele and other risk factors of stroke, such as old age, diabetes mellitus, and habitual snoring, synergistically increased the risk among men. Among women, however, the ALDH2 polymorphism was not associated with stroke risk.The prospective cohort study showed a significant association between a common ALDH2 polymorphism and stroke risk in Korean men, but not in Korean women, and also demonstrated that men with genetic disadvantages gain more risk when having risk factors of stroke. Thus, these men may need to make more concerted efforts to control modifiable risk factors of stroke."
24953174,No," Jose Luis Clua-Espuny Affiliation=EAP Tortosa 1-est, Unidad Docente Tortosa, SAP Terres de l'Ebre, Institut Catalâˆ_Ã‰Â¬â€  Salut, Generalitat Catalunya, Tortosa, Espaâˆ_Ã‰Â¬Â±a. Electronic address: jlclua@telefonica.net.,",[Differences in the survival after an episode of stroke treated with thrombolytic therapy. Study Ebrictus].,Atencion primaria / Sociedad Espaâˆ_Ã‰Â¬Â±ola de Medicina de Familia y Comunitaria,2015 Feb,OUTC,Human,91,"To seek if there is gender survival difference among patients treated with thrombolytic therapy.Cohort study.Community based register.91 subjects with an episode of stroke collected since April 2006 up to September 2013 and treated with thrombolytic therapy.Monitoring of vital status.We collected baseline characteristics in Framingham, Regicor, CHA2DS2-VASc, Essen, NIHSS, Barthel scales and outcomes according to gender; person-time incidence rate; survival analysis by Kaplan-Meier's curves, bivariate analysis between survivors and deaths, and Cox multivariate.91 patients with middle age 68.02Â±11.9 years. The men have higher cardiovascular basal risk. The average time of follow-up was 2.95Â±2.33 years. Incidence rate ratio (IR) shown higher risk in men than in women IR=3.2 (CI 95% 1.2-8.0). The dead cases were older (P=.032); with higher cardiovascular basal risk (P=.040) and more risk of stroke recurrence (P=<.001), with cardiovascular pathology before the stroke (P=.005); more stroke severity (P=.002); and a major fall in the score Barthel one year after the episode (P=.016). The percentage of deaths is significantly higher when the patient is referred by complications to other centres (P=.006) in relation to those referred to home, but just the gender (HR: 1,12; IC 95%: 1,05-1,20) and secondary cardiovascular prevention (HR: 0,13; IC 95%: 0,06-0,28) were associated with higher risk of mortality.After stroke episode treated with thrombolytic therapy, men have 12% higher risk of dying than women and don't be treated with secondary cardiovascular prevention rise 7.7 times the mortality risk."
25783542,No," Halvor âˆ_Ã‰Ã€Ãºygarden Affiliation=Department of Clinical Medicine, University of Bergen, Bergen, Norway, havy@helse-bergen.no.,",Stroke patients' knowledge about cardiovascular family historyâˆ_Â¢â€_Ã‡Â¨â€_Ã„âˆ_-âˆ_Â¢â€_Ã‡Â¨â€_Ã„âˆ_the Norwegian Stroke in the Young Study (NOR-SYS).,BMC neurology,2015 Dec,CLIN,Human,257,
25779437,No," Mehwish A Mirza Affiliation=Department of Neuroscience, University of Connecticut Health Center, 263 Farmington Avenue, Farmington, CT, 06030, USA, memirza@uchc.edu.,",Sexually dimorphic outcomes and inflammatory responses in hypoxic-ischemic encephalopathy.,Journal of neuroinflammation,2015 Dec,PP,Mouse,na,
25747877,Yes," Matthew D Howe Affiliation=Department of Neuroscience, The University of Connecticut Health Center, Farmington, CT 06030, USA.,",Prevention and management of stroke in women.,Expert review of cardiovascular therapy,2015 Apr,REVIEW,Human,na,"Stroke is the leading cause of acquired disability and the third leading cause of death in women worldwide. Sex differences in risk factors, treatment response and quality of life after stroke complicate stroke management in women. Women have an increased lifetime incidence of stroke compared to men, largely due to a sharp increase in stroke risk in older postmenopausal women. Women also have an increased lifetime prevalence of stroke risk factors, including hypertension and atrial fibrillation in postmenopausal women, as well as abdominal obesity and metabolic syndrome in middle-aged women. Controversy continues over the risks of oral contraceptives, hormone therapy and surgical intervention for carotid stenosis in women. Pregnancy and the postpartum period represent a time of increased risk, presenting challenges to stroke management. Recognition of these issues is critical to improving acute care and functional recovery after stroke in women."
25586143,No," Laura Buratti Affiliation=Department of Experimental and Clinical Medicine, Neurological Clinic, Marche Polytechnic University, Ancona, Italy.,",Sex-associated differences in the modulation of vascular risk in patients with asymptomatic carotid stenosis.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2015,EPI,Human,1109,"In this study, we aimed to identify determinants of the different sex-related stroke risk in subjects with asymptomatic internal carotid artery (ICA) stenosis. In all, 492 women (44.4%) and 617 men (55.6%), with unilateral â©_ 60% asymptomatic ICA stenosis, were prospectively evaluated with a median follow-up of 37 months (interquartile range, 26 to 43). Vascular risk profile, plaque characteristics, stenosis progression, and common carotid artery intima-media thickness were investigated. Outcome measure was the occurrence of ischemic stroke ipsilateral to ICA stenosis. Myocardial infarction, contralateral stroke and transient ischemic attack were considered as competing events. The incidence rate of ipsilateral stroke over the entire follow-up period was 0.16%: 0.09% (95% confidence interval (CI) 0.05 to 0.15) in women and 0.22% (95% CI 0.17 to 0.29) in men (log-rank test, P<0.001). Stenosis progression significantly influenced the risk of ipsilateral stroke in both men (subhazard ratio, SHR, 8.99) and women (SHR 4.89). Stenosis degree (71% to 90%, SHR 2.35; 91% to 99%, SHR 3.38) and irregular plaque surface (SHR 2.32) were relevant risk factors for ipsilateral stroke only in men. Our findings suggest that characteristics of the stenosis and plaque exert a different effect in modulating vascular risk in the two sexes. Understanding sex differences in cardiovascular disease could help to target sex-specific future therapies."
25659352,No," Peter L Kolominsky-Rabas Affiliation=Interdisciplinary Centre for Health Technology Assessment (HTA) and Public Health, Friedrich-Alexander University of Erlangen-Nâˆ_Ã‰Â¬Âºrnberg, Erlangen-Nâˆ_Ã‰Â¬Âºrnberg, Germany.,",Time Trends in Incidence of Pathological and Etiological Stroke Subtypes during 16 Years: The Erlangen Stroke Project.,Neuroepidemiology,2015,EPI,Human,3243,"Population-based data, which continuously monitors time trends in stroke epidemiology are limited. We investigated the incidence of pathological and etiological stroke subtypes over a 16 year time period.Data were collected within the Erlangen Stroke Project (ESPro), a prospective, population-based stroke register in Germany covering a total study population of 105,164 inhabitants (2010). Etiology of ischemic stroke was classified according to the Trial of Org 10172 in Acute Stroke Treatment (TOAST) criteria.Between January 1995 and December 2010, 3,243 patients with first-ever stroke were documented. The median age was 75 and 55% were females. The total stroke incidence decreased over the 16 year study period in men (Incidence Rate Ratio 1995-1996 vs. 2009-2010 (IRR) 0.78; 95% CI 0.58-0.90) but not in women. Among stroke subtypes, a decrease in ischemic stroke incidence (IRR 0.73; 95% CI 0.57-0.93) and of large artery atherosclerotic stroke (IRR 0.27; 95% CI 0.12-0.59) was found in men and an increase of stroke due to small artery occlusion in women (IRR 2.33; 95% CI 1.39-3.90).Variations in time trends of pathological and etiological stroke subtypes were found between men and women that might be linked to gender differences in the development of major vascular risk factors in the study population."
24560819,Yes," Meaghan Roy-O'Reilly Affiliation=University of Connecticut Health Center, School of Medicine, USA.,",Sex differences in stroke: the contribution of coagulation.,Experimental neurology,2014 Sep,REVIEW,Human,na,"Stroke is now the leading cause of adult disability in the United States. Women are disproportionately affected by stroke. Women increasingly outnumber men in the elderly population, the period of highest risk for stroke. However, there is also a growing recognition that fundamental sex differences are present that contribute to differential ischemic sensitivity. In addition, gonadal hormone exposure can impact coagulation and fibrinolysis, key factors in the initiation of thrombosis. In this review we will discuss sex differences in stroke, with a focus on platelets, vascular reactivity and coagulation. "
