Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
32,22982181,No," Mohit Kumar Verma,",Co-expression of estrogen receptor beta and aromatase in Japanese lung cancer patients: gender-dependent clinical outcome.,Life sciences,2012 Oct 22,Pathophysiology,Human,169
33,23050111,No," Navneet Singh,",Quantified smoking status and non-small cell lung cancer stage at presentation: analysis of a North Indian cohort and a systematic review of literature.,Journal of thoracic disease,2012 Oct,Clinical,Human,654
34,22739261,No," Seungmi Yang,",The changing gender differences in life expectancy in Korea 1970-2005.,Social science & medicine (1982),2012 Oct,Review,Human,n.a.
35,22699933,No," Linlin Liu,",Are circulating autoantibodies to ABCC3 transporter a potential biomarker for lung cancer?,Journal of cancer research and clinical oncology,2012 Oct,Clinical,Human,501
36,22984219,No," Zoe Wainer,",Sex and SUVmax: sex-dependent prognostication in early non-small cell lung cancer.,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2012 Nov,Clinical,Human,189
37,22705252,No," William D Hazelton,","Longitudinal multistage model for lung cancer incidence, mortality, and CT detected indolent and aggressive cancers.",Mathematical biosciences,2012 Nov,Management,Human,12218
38,22734179,Yes," Assma Ben Aissa,",[Is lung cancer in women different?].,Revue mÃ©dicale suisse,2012 May 23,Review,Human,n.a.
39,22197614,No," Isabelle Rouquette,",Characteristics of lung cancer in women: importance of hormonal and growth factors.,"Lung cancer (Amsterdam, Netherlands)",2012 Jun,Pathophysiology,Human,100
40,22583357,No," Christina Karlsson,","Oestrogen receptor Î² in NSCLC - prevalence, proliferative influence, prognostic impact and smoking.","APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",2012 Jun,Pathophysiology,Human,262
41,22129856,No," Jin Ho Paik,",Clinicopathologic implication of ALK rearrangement in surgically resected lung cancer: a proposal of diagnostic algorithm for ALK-rearranged adenocarcinoma.,"Lung cancer (Amsterdam, Netherlands)",2012 Jun,Pathophysiology,Human,735
42,23405728,No," F Argiolas,",[Occupational and environmental cancer in southern Sardinia: a survey on ten years of hospitalizations].,Giornale italiano di medicina del lavoro ed ergonomia,2012 Jul-Sep,Epidemiology,Human,n.a.
43,22052616,No," Seyed Mohsen Mousavi,","Age- and time-dependent changes in cancer incidence among immigrants to Sweden: colorectal, lung, breast and prostate cancers.",International journal of cancer. Journal international du cancer,2012 Jul 15,Epidemiology,Human,n.a.
44,22210046,No," Elzbieta Izbicka,",Plasma Biomarkers Distinguish Non-small Cell Lung Cancer from Asthma and Differ in Men and Women.,Cancer genomics & proteomics,2012 Jan,Clinical,Human,828
45,22240244,Yes," Elizabeth A Townsend,",Sex differences and sex steroids in lung health and disease.,Endocrine reviews,2012 Feb,Review,Human,n.a.
46,22906735,No," Yumei Guo,",Probing gender-specific lipid metabolites and diagnostic biomarkers for lung cancer using Fourier transform ion cyclotron resonance mass spectrometry.,"Clinica chimica acta, international journal of clinical chemistry",2012 Dec 24,Clinical,Human,553
47,23081985,No," Reiko Ando Makihara,",Gender difference in hematological toxicity among lung cancer patients receiving amrubicin monotherapy.,Japanese journal of clinical oncology,2012 Dec,Management,Human,103
48,21443417,No," Henrik Zecha,",High incidence of independent second malignancies after non-muscle-invasive bladder cancer.,Scandinavian journal of urology and nephrology,2011 Sep,Epidemiology,Human,380
49,22041044,Yes," Jessica S Donington,",Sex and gender differences in non-small cell lung cancer.,Seminars in thoracic and cardiovascular surgery,2011 Season=Summer,Review,Human,na
50,21663864,No," Philippe R Montgrain,",Prognostic implications of parathyroid hormone-related protein in males and females with non--small-cell lung cancer.,Clinical lung cancer,2011 May,Clinical,Human,199
51,21106301,Yes," James Gasperino,",Gender is a risk factor for lung cancer.,Medical hypotheses,2011 Mar,Review,Human,na
52,20951464,No," Heidi Uppstad,",Sex differences in susceptibility to PAHs is an intrinsic property of human lung adenocarcinoma cells.,"Lung cancer (Amsterdam, Netherlands)",2011 Mar,Pathophysiology,Human,11
53,21392519,Yes," Mohit K Verma,",Aromatase in human lung carcinoma.,Steroids,2011 Jul,Review,Human,na
54,21623238,No," Shannon Otsuka,",CXCR4 overexpression is associated with poor outcome in females diagnosed with stage IV non-small cell lung cancer.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2011 Jul,Outcomes,Human,832
55,21762635,Yes," Xin Xing,",[Gender-associated differences of lung cancer and mechanism].,Zhongguo fei ai za zhi ,2011 Jul,Review,Human,na
56,20885306,No," Jeannine M Brant,",Symptom trajectories in posttreatment cancer survivors.,Cancer nursing,2011 Jan-Feb,Management,Human,100
57,21062926,No," Laura P Stabile,",Combined analysis of estrogen receptor beta-1 and progesterone receptor expression identifies lung cancer patients with poor outcome.,Clinical cancer research : an official journal of the American Association for Cancer Research,2011 Jan 1,Clinical,Human,na
58,21079521,No," Julie R Brahmer,",Sex differences in outcome with bevacizumab therapy: analysis of patients with advanced-stage non-small cell lung cancer treated with or without bevacizumab in combination with paclitaxel and carboplatin in the Eastern Cooperative Oncology Group Trial 4599.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2011 Jan,Management,Human,850
59,22205843,No," Jeong-Seon Ryu,",Gender Differences in Susceptibility to Smoking among Patients with Lung Cancer.,The Korean journal of internal medicine,2011 Dec,Epidemiology,Human,1594
60,22028403,No," Chongjuan Wei,",A Case-Control Study of a Sex-Specific Association between a 15q25 Variant and Lung Cancer Risk.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2011 Dec,Pathophysiology,Human,1390
61,21411784,No," William Sterlacci,",The prognostic impact of sex on surgically resected non-small cell lung cancer depends on clinicopathologic characteristics.,American journal of clinical pathology,2011 Apr,Clinical,Human,405
62,21951318,No," Mm Ivanova,",Ligand-dependent differences in estrogen receptor beta-interacting proteins identified in lung adenocarcinoma cells corresponds to estrogenic responses.,Proteome science,2011,Pathophysiology,Human,na
63,20802022,No," Tzu-Pin Lu,","Identification of a novel biomarker, SEMA5A, for non-small cell lung carcinoma in nonsmoking women.","Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2010 Oct,Pathophysiology,Human,60
64,20736855,No," Hiroyuki Sakurai,","Survival differences by gender for resected non-small cell lung cancer: a retrospective analysis of 12,509 cases in a Japanese Lung Cancer Registry study.",Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2010 Oct,Outcomes,Human,12509
65,20805318,Yes," Alexsandra Fucic,",Lung cancer and environmental chemical exposure: a review of our current state of knowledge with reference to the role of hormones and hormone receptors as an increased risk factor for developing lung cancer in man.,Toxicologic pathology,2010 Oct,Review,Human,na
66,21056866,Yes," Chikako Kiyohara,",Sex differences in lung cancer susceptibility: a review.,Gender medicine,2010 Oct,Review,Human,na
67,19626602,No," Yun-Ling Zheng,",Elevated lung cancer risk is associated with deficiencies in cell cycle checkpoints: genotype and phenotype analyses from a case-control study.,International journal of cancer. Journal international du cancer,2010 May 1,Pathophysiology,Human,849
68,20464627,No," Satoshi Sakaguchi,","Gender difference in bone metastasis of human small cell lung cancer, SBC-5 cells in natural killer-cell depleted severe combined immunodeficient mice.",Clinical & experimental metastasis,2010 May,Pathophysiology,Mouse,na
69,19728330,No," Freddie Ian Bray,",Lung cancer mortality trends in 36 European countries: secular trends and birth cohort patterns by sex and region 1970-2007.,International journal of cancer. Journal international du cancer,2010 Mar 15,Epidemiology,Human,na
70,19556604,No," Margarita M Ivanova,",Sex differences in estrogen receptor subcellular location and activity in lung adenocarcinoma cells.,American journal of respiratory cell and molecular biology,2010 Mar,Pathophysiology,Human,na
71,19609951,No," Tomoaki Tanaka,",Frequency of and variables associated with the EGFR mutation and its subtypes.,International journal of cancer. Journal international du cancer,2010 Feb 1,Pathophysiology,Human,1176
72,20826048,Yes," Marco G Paggi,",Gender-related disparities in non-small cell lung cancer.,Cancer letters,2010 Dec 1,Review,Human,na
73,20852035,No," Haidong Wang,",Overexpression and gender-specific differences of SRC-3 (SRC-3/AIB1) immunoreactivity in human non-small cell lung cancer: an in vivo study.,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,2010 Dec,Pathophysiology,Human,48
74,20035825,No," Laura Mikkonen,",Androgen receptor and androgen-dependent gene expression in lung.,Molecular and cellular endocrinology,2010 Apr 12,Pathophysiology,Human/Mouse,na
75,20435276,No," Joy M Jacobs-Lawson,",Gender differences in psychosocial responses to lung cancer.,Gender medicine,2010 Apr,Management,Human,100
76,20677562,No," Qianli Ma,",Surgical therapeutic strategy for non-small cell lung cancer with mediastinal lymph node metastasis (N2).,Zhongguo fei ai za zhi ,2010 Apr,Management,Human,173
77,20523085,No," Martin Faehling,","Benefit of erlotinib in patients with non-small-cell lung cancer is related to smoking status, gender, skin rash and radiological response but not to histology and treatment line.",Oncology,2010,Management,Human,121
78,21070914,Yes," Jun Yokota,",Genetic basis for susceptibility to lung cancer: Recent progress and future directions.,Advances in cancer research,2010,Review,Human,n.a.
79,21338197,No," Wai Kei Lei,",Survival analysis of 2003-2005 data from the population-based Cancer Registry in Macao.,Asian Pacific journal of cancer prevention : APJCP,2010,Outcomes,Human,2623
80,19816073,No," David Cerny,","Lung cancer in the Canton of St. Gallen, Eastern Switzerland: sex-associated differences in smoking habits, disease presentation and survival.",Onkologie,2009 Oct,Epidemiology,Human,670
81,19299032,No," Li-Han Hsu,",Sex-associated differences in non-small cell lung cancer in the new era: is gender an independent prognostic factor?,"Lung cancer (Amsterdam, Netherlands)",2009 Nov,Outcomes,Human,738
82,19692418,No," Ikuo Sekine,",Gender difference in treatment outcomes in patients with stage III non-small cell lung cancer receiving concurrent chemoradiotherapy.,Japanese journal of clinical oncology,2009 Nov,Management,Human,204
83,19585900,No," Steven J Jubelirer,",Does sex make a difference in survival of patients undergoing resection for early stage non-small cell lung cancer (NSCLC)?,The West Virginia medical journal,2009 Jul-Aug,Outcomes,Human,1332
84,19472405,No," Susan L McGovern,",Is sex associated with the outcome of patients treated with radiation for nonsmall cell lung cancer?,Cancer,2009 Jul 15,Outcomes,Human,831
85,19536007,No," Lisa R Shugarman,",Race and sex differences in the receipt of timely and appropriate lung cancer treatment.,Medical care,2009 Jul,Management,Human,22145
86,19414505,No," Maria N Timofeeva,",CYP450 polymorphisms as risk factors for early-onset lung cancer: gender-specific differences.,Carcinogenesis,2009 Jul,Pathophysiology,Human,1938
87,19596925,No," Ji-Ching Lai,",O6-Methylguanine-DNA methyltransferase hypermethylation modulated by 17beta-estradiol in lung cancer cells.,Anticancer research,2009 Jul,Pathophysiology,Human,na
88,18618142,No," Katsuyuki Hotta, Mitsune Tanimoto",Sex difference in the influence of smoking status on the responsiveness to gefitinib monotherapy in adenocarcinoma of the lung: Okayama Lung Cancer Study Group experience.,Journal of cancer research and clinical oncology,2009 Jan,Management,Human,260
89,18618142,No," Katsuyuki Hotta,",Sex difference in the influence of smoking status on the responsiveness to gefitinib monotherapy in adenocarcinoma of the lung: Okayama Lung Cancer Study Group experience.,Journal of cancer research and clinical oncology,2009 Jan,Management,Human,260
90,19250205,No," Diana C Márquez-Garbán, Richard J Pietras",Targeting aromatase and estrogen signaling in human non-small cell lung cancer.,Annals of the New York Academy of Sciences,2009 Feb,Pathophysiology,Human,na
91,19798842,No," I Villamil Cajoto,",Reason for a medical visit in the diagnosis of lung cancer. A review of 481 cases,Revista clínica española,2009 Feb,Clinical,Human,481
92,19250205,Yes," Diana C Márquez-Garbán,",Targeting aromatase and estrogen signaling in human non-small cell lung cancer.,Annals of the New York Academy of Sciences,2009 Feb,Review,Human,na
93,18649969,No," Kathleen Lang,",Trends and predictors of first-line chemotherapy use among elderly patients with advanced non-small cell lung cancer in the United States.,"Lung cancer (Amsterdam, Netherlands)",2009 Feb,Management,Human,na
94,19179891,No," Chun-Ru Chien,","A Bayesian model for age, period, and cohort effects on mortality trends for lung cancer, in association with gender-specific incidence and case-fatality rates.",Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2009 Feb,Outcomes,Human,44139
95,19995643,Yes," Kavitha Ramchandran,",Sex differences in susceptibility to carcinogens.,Seminars in oncology,2009 Dec,Review,Human,na
96,19995649,Yes," Seema Harichand-Herdt,",Gender-associated differences in lung cancer: clinical characteristics and treatment outcomes in women.,Seminars in oncology,2009 Dec,Review,Human,na
97,19995648,Yes," Rowan T Chlebowski,","Menopausal hormone therapy, hormone receptor status, and lung cancer in women.",Seminars in oncology,2009 Dec,Review,Human,na
98,19995645,Yes," Danielle Shafer,",Lung cancer outcomes in women.,Seminars in oncology,2009 Dec,Review,Human,na
99,19995647,Yes," David Planchard,",Differential expression of biomarkers in men and women.,Seminars in oncology,2009 Dec,Review,Human,na
100,20477352,Yes," Maria Patricia Rivera,","Lung cancer in women: the differences in epidemiology, biology and treatment outcomes.",Expert review of respiratory medicine,2009 Dec,Review,Human,n.a.
101,19327500,No," Jee Won Chang, Shun-ichi Watanabe",Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,The Journal of thoracic and cardiovascular surgery,2009 Apr,Outcomes,Human,2770
102,19327500,No," Jee Won Chang,",Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,The Journal of thoracic and cardiovascular surgery,2009 Apr,Outcomes,Human,2770
103,21188124,No," Aminah Jatoi,",Is social support associated with improved clinical outcomes in geriatric lung cancer patients? Observations from North Central Cancer Treatment Group Studies N9921 and N0222.,Cancer management and research,2009,Outcomes,Human,113
104,19570225,No," Massimo Bilancia,","Geographical clustering of lung cancer in the province of Lecce, Italy: 1992-2001.",International journal of health geographics,2009,Epidemiology,Human,n.a.
105,18922127,Yes," Silvia Novello, Tiziana Vavalà",Lung cancer and women.,"Future oncology (London, England)",2008 Oct,Review,Human,na
106,18922127,Yes," Silvia Novello,",Lung cancer and women.,"Future oncology (London, England)",2008 Oct,Review,Human,na
107,18457755,No," Lisa R Shugarman, Joanne Lynn",Age and gender differences in medicare expenditures and service utilization at the end of life for lung cancer decedents.,Women's health issues : official publication of the Jacobs Institute of Women's Health,2008 May-Jun,Management,Human,13120
108,18457755,No," Lisa R Shugarman,",Age and gender differences in medicare expenditures and service utilization at the end of life for lung cancer decedents.,Women's health issues : official publication of the Jacobs Institute of Women's Health,2008 May-Jun,Management,Human,13120
109,18509000,No," Zane Hammoud, Robert M Bigsby",Estrogen promotes tumor progression in a genetically defined mouse model of lung adenocarcinoma.,Endocrine-related cancer,2008 Jun,Pathophysiology,Mouse,na
110,18509000,No," Zane Hammoud,",Estrogen promotes tumor progression in a genetically defined mouse model of lung adenocarcinoma.,Endocrine-related cancer,2008 Jun,Pathophysiology,Mouse,n.a.
111,18579664,No," Hiromichi Niikawa, Hironobu Sasano",Intratumoral estrogens and estrogen receptors in human non-small cell lung carcinoma.,Clinical cancer research : an official journal of the American Association for Cancer Research,2008 Jul 15,Pathophysiology,Human,59
112,18579664,No," Hiromichi Niikawa,",Intratumoral estrogens and estrogen receptors in human non-small cell lung carcinoma.,Clinical cancer research : an official journal of the American Association for Cancer Research,2008 Jul 15,Pathophysiology,Human,59
113,18488954,No," Emilio Antonio Luca Gianicolo,","[Mortality in the municipalities of Brindisi Province, 1981-2001].",Epidemiologia e prevenzione,2008 Jan-Feb,Epidemiology,Human,3200
114,18269115,No," Zubair Kabir, Luke Clancy",Sex-differences in lung cancer cell-types? An epidemiologic study in Ireland.,The Ulster medical journal,2008 Jan,Epidemiology,Human,na
115,18257399,No," Farzan Siddiqui, Benjamin Movsas",Gender differences in pretreatment quality of life in a prospective lung cancer trial.,The journal of supportive oncology,2008 Jan,Outcomes,Human,70
116,18188760,No," Benjamin A Toll, Sherry A McKee",Message framing for smoking cessation: the interaction of risk perceptions and gender.,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,2008 Jan,Management,Human,249
117,18188760,No," Benjamin A Toll,",Message framing for smoking cessation: the interaction of risk perceptions and gender.,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,2008 Jan,Clinical,Human,249
118,18257399,No," Farzan Siddiqui,",Gender differences in pretreatment quality of life in a prospective lung cancer trial.,The journal of supportive oncology,2008 Jan,Outcomes,Human,70
119,18269115,No," Zubair Kabir,",Sex-differences in lung cancer cell-types? An epidemiologic study in Ireland.,The Ulster medical journal,2008 Jan,Epidemiology,Human,n.a.
120,18222146,Yes," Patricia O'Keeffe, Jyoti Patel",Women and lung cancer.,Seminars in oncology nursing,2008 Feb,Review,Human,na
121,18361872,No," Aurelio Cayuela,",[Lung cancer mortality trends in Spain between 1980 and 2005].,Archivos de bronconeumologÃ­a,2008 Feb,Outcomes,Human,19118
122,18222146,Yes," Patricia O'Keeffe,",Women and lung cancer.,Seminars in oncology nursing,2008 Feb,Review,Human,na
123,19088038,No," Nancy L Guo, Yong Qian",Confirmation of gene expression-based prediction of survival in non-small cell lung cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2008 Dec 15,Pathophysiology,Human,
124,17976859,No," Malin Lövgren, Katarina Hamberg",Symptoms and problems with functioning among women and men with inoperable lung cancer--a longitudinal study.,"Lung cancer (Amsterdam, Netherlands)",2008 Apr,Outcomes,Human,159
125,17976859,No," Malin LÃ¶vgren,",Symptoms and problems with functioning among women and men with inoperable lung cancer--a longitudinal study.,"Lung cancer (Amsterdam, Netherlands)",2008 Apr,Outcomes,Human,159
126,18433484,No," Kirstin Mittelstrass,","Early onset lung cancer, cigarette smoking and the SNP309 of the murine double minute-2 (MDM2) gene.",BMC cancer,2008,Pathophysiology,Human,1935
127,18827494,No," Harukaze Yamamoto,",Gender differences in treatment outcomes among patients with non-small cell lung cancer given a combination of carboplatin and paclitaxel.,Oncology,2008,Management,Human,227
128,17676588,No," Philippe R Montgrain, Randolph H Hastings",Parathyroid hormone-related protein varies with sex and androgen status in nonsmall cell lung cancer.,Cancer,2007 Sep 15,Pathophysiology,Mouse,na
129,17676588,No," Philippe R Montgrain,",Parathyroid hormone-related protein varies with sex and androgen status in nonsmall cell lung cancer.,Cancer,2007 Sep 15,Pathophysiology,"Human, Mouse",n.a.
130,17486075,No," S Zheng,",A genetic mouse model for metastatic lung cancer with gender differences in survival.,Oncogene,2007 Oct 18,Pathophysiology,Mouse,n.a.
131,18026652,No," Antonio Fernando Boing, Tiana Fávero Rossi","Temporal trend in and spatial distribution of lung cancer mortality in Brazil between 1979 and 2004: magnitude, regional patterns, and gender-related differences.",Jornal brasileiro de pneumologia : publicaça?o oficial da Sociedade Brasileira de Pneumologia e Tisilogia,2007 Oct,Outcomes,Human,na
132,18026652,No," Antonio Fernando Boing,","Temporal trend in and spatial distribution of lung cancer mortality in Brazil between 1979 and 2004: magnitude, regional patterns, and gender-related differences.",Jornal brasileiro de pneumologia : publicaÃ§aÌ‹o oficial da Sociedade Brasileira de Pneumologia e Tisilogia,2007 Oct,Outcomes,Human,n.a.
