Class	Subject	abstract
Stroke	MANAG	"The aim of this study was to evaluate the effect of atorvastatin on lipid lowering, cardiovascular (CV) events, and adverse events in women compared with men in 6 clinical trials. In the Incremental Decrease in End Points Through Aggressive Lipid Lowering (IDEAL) trial (atorvastatin 80 mg vs simvastatin 20 to 40 mg), the Treating to New Targets (TNT) trial (atorvastatin 80 vs 10 mg), the Stroke Prevention by Aggressive Reduction in Cholesterol Levels (SPARCL) trial (atorvastatin 80 mg vs placebo), and the Collaborative Atorvastatin Diabetes Study (CARDS), the Anglo-Scandinavian Cardiac Outcomes Trial (ASCOT), and the Atorvastatin Study for Prevention of Coronary Heart Disease Endpoints in Non-Insulin-Dependent Diabetes Mellitus (ASPEN) (atorvastatin 10 mg vs placebo), lipid changes on treatment were compared between genders with studies grouped by dose. The association of on-study low-density lipoprotein (LDL) cholesterol and CV events by gender was evaluated in the combined studies and the impact of gender on adverse events in each study separately. Major CV events occurred in 3,083 of 30,000 men (10.3%) and 823 of 9,173 women (9.0%). Changes in lipids were similar in women and men. Major CV events were associated with gender-specific quintiles of on-treatment LDL cholesterol for women and men. In women, LDL cholesterol was a significant predictor of stroke, but not in men. Discontinuation rates due to adverse events were higher in women in 4 of 6 trials, but in only 1 trial was a significant treatment-gender interaction seen. Myalgia rates were slightly higher in women in both statin and placebo groups. In conclusion, the response of women to atorvastatin was similar to that of men, with slightly more discontinuations due to adverse events. Higher on-treatment LDL cholesterol was significantly associated with more CV events in both genders, but the association was stronger for stroke in women and for coronary heart disease death in men."
Stroke	OUTC	"Variable sex differences in clinical outcomes after stroke have been reported worldwide. This study aimed to elucidate whether sex is an independent risk factor of poor functional outcome after acute ischemic stroke.Using the database of patients with acute stroke registered in the Fukuoka Stroke Registry in Japan from 1999 to 2013, 6236 previously independent patients with first-ever ischemic stroke who were admitted within 24 hours of onset were included in this study. Baseline characteristics were assessed on admission. Study outcomes included neurological improvement, neurological deterioration, and poor functional outcome (modified Rankin Scale score, 3-6 at discharge). Logistic regression analyses were performed to evaluate the association between sex and clinical outcomes.Overall, 2398 patients (38.5%) were women. Severe stroke (National Institutes of Health Stroke Scale score, ‰ä´8) on admission was more prevalent in women than in men. The frequency of neurological improvement or deterioration during hospitalization was not different between the sexes. After adjusting for possible confounders, including age, stroke subtype and severity, risk factors, and poststroke treatments, it was found that female sex was independently associated with poor functional outcome at discharge (odds ratio, 1.30; 95% confidence interval, 1.08-1.57). There was heterogeneity of the association between sex and poor outcome according to age: women had higher risk of poor outcome than men among patients aged ‰ä´70 years, but no clear sex difference was found in patients aged <70 years.Female sex was associated with the risk of poor functional outcome at discharge after acute ischemic stroke."
Stroke	PP	"Epidemiologic studies have shown sex differences in ischemic stroke. The four core genotype (FCG) mouse model, in which the testes determining gene, Sry, has been moved from Y chromosome to an autosome, was used to dissociate the effects of sex hormones from sex chromosome in ischemic stroke outcome. Middle cerebral artery occlusion (MCAO) in gonad intact FCG mice revealed that gonadal males (XXM and XYM) had significantly higher infarct volumes as compared with gonadal females (XXF and XYF). Serum testosterone levels were equivalent in adult XXM and XYM, as was serum estrogen in XXF and XYF mice. To remove the effects of gonadal hormones, gonadectomized FCG mice were subjected to MCAO. Gonadectomy significantly increased infarct volumes in females, while no change was seen in gonadectomized males, indicating that estrogen loss increases ischemic sensitivity. Estradiol supplementation in gonadectomized FCG mice rescued this phenotype. Interestingly, FCG male mice were less sensitive to effects of hormones. This may be due to enhanced expression of the transgene Sry in brains of FCG male mice. Sex differences in ischemic stroke sensitivity appear to be shaped by organizational and activational effects of sex hormones, rather than sex chromosomal complement. "
Stroke	EPI	"It is well-known that alcohol consumption is associated with stroke risk as well as with aldehyde dehydrogenase 2 gene (ALDH2) polymorphisms. However, it is unclear whether ALDH2 polymorphisms are associated with stroke risk independent of alcohol consumption and whether such association is modified by sex. We evaluated sex-specific associations of a common ALDH2 polymorphism and alcohol consumption with stroke risk in a Korean population.We conducted a prospective cohort study involving 8,465 men and women, aged 40-69 years and free of stroke between June, 2001 and January, 2003, and followed for the development of stroke. We identified new cases of stroke, which were self-reported or ascertained from vital registration data. Based on genome-wide association data, we selected a single-nucleotide polymorphism (rs2074356), which shows high linkage disequilibrium with the functional polymorphism of ALDH2. We conducted Cox proportional hazards regression analysis considering potential risk factors collected from a baseline questionnaire.Over the median follow-up of 8 years, 121 cases of stroke were identified. Carrying the wild-type allele of the ALDH2 polymorphism increased stroke risk among men. The multivariate hazard ratio [95% confidence interval] of stroke was 2.02 [1.03-3.99] for the wild-type allele compared with the mutant alleles, but the association was attenuated after controlling for alcohol consumption. Combinations of the wild-type allele and other risk factors of stroke, such as old age, diabetes mellitus, and habitual snoring, synergistically increased the risk among men. Among women, however, the ALDH2 polymorphism was not associated with stroke risk.The prospective cohort study showed a significant association between a common ALDH2 polymorphism and stroke risk in Korean men, but not in Korean women, and also demonstrated that men with genetic disadvantages gain more risk when having risk factors of stroke. Thus, these men may need to make more concerted efforts to control modifiable risk factors of stroke."
Stroke	OUTC	"To seek if there is gender survival difference among patients treated with thrombolytic therapy.Cohort study.Community based register.91 subjects with an episode of stroke collected since April 2006 up to September 2013 and treated with thrombolytic therapy.Monitoring of vital status.We collected baseline characteristics in Framingham, Regicor, CHA2DS2-VASc, Essen, NIHSS, Barthel scales and outcomes according to gender; person-time incidence rate; survival analysis by Kaplan-Meier's curves, bivariate analysis between survivors and deaths, and Cox multivariate.91 patients with middle age 68.02å±11.9 years. The men have higher cardiovascular basal risk. The average time of follow-up was 2.95å±2.33 years. Incidence rate ratio (IR) shown higher risk in men than in women IR=3.2 (CI 95% 1.2-8.0). The dead cases were older (P=.032); with higher cardiovascular basal risk (P=.040) and more risk of stroke recurrence (P=<.001), with cardiovascular pathology before the stroke (P=.005); more stroke severity (P=.002); and a major fall in the score Barthel one year after the episode (P=.016). The percentage of deaths is significantly higher when the patient is referred by complications to other centres (P=.006) in relation to those referred to home, but just the gender (HR: 1,12; IC 95%: 1,05-1,20) and secondary cardiovascular prevention (HR: 0,13; IC 95%: 0,06-0,28) were associated with higher risk of mortality.After stroke episode treated with thrombolytic therapy, men have 12% higher risk of dying than women and don't be treated with secondary cardiovascular prevention rise 7.7 times the mortality risk."
Stroke	CLIN	
Stroke	PP	
Stroke	REVIEW	"Stroke is the leading cause of acquired disability and the third leading cause of death in women worldwide. Sex differences in risk factors, treatment response and quality of life after stroke complicate stroke management in women. Women have an increased lifetime incidence of stroke compared to men, largely due to a sharp increase in stroke risk in older postmenopausal women. Women also have an increased lifetime prevalence of stroke risk factors, including hypertension and atrial fibrillation in postmenopausal women, as well as abdominal obesity and metabolic syndrome in middle-aged women. Controversy continues over the risks of oral contraceptives, hormone therapy and surgical intervention for carotid stenosis in women. Pregnancy and the postpartum period represent a time of increased risk, presenting challenges to stroke management. Recognition of these issues is critical to improving acute care and functional recovery after stroke in women."
Stroke	EPI	"In this study, we aimed to identify determinants of the different sex-related stroke risk in subjects with asymptomatic internal carotid artery (ICA) stenosis. In all, 492 women (44.4%) and 617 men (55.6%), with unilateral ‰©_ 60% asymptomatic ICA stenosis, were prospectively evaluated with a median follow-up of 37 months (interquartile range, 26 to 43). Vascular risk profile, plaque characteristics, stenosis progression, and common carotid artery intima-media thickness were investigated. Outcome measure was the occurrence of ischemic stroke ipsilateral to ICA stenosis. Myocardial infarction, contralateral stroke and transient ischemic attack were considered as competing events. The incidence rate of ipsilateral stroke over the entire follow-up period was 0.16%: 0.09% (95% confidence interval (CI) 0.05 to 0.15) in women and 0.22% (95% CI 0.17 to 0.29) in men (log-rank test, P<0.001). Stenosis progression significantly influenced the risk of ipsilateral stroke in both men (subhazard ratio, SHR, 8.99) and women (SHR 4.89). Stenosis degree (71% to 90%, SHR 2.35; 91% to 99%, SHR 3.38) and irregular plaque surface (SHR 2.32) were relevant risk factors for ipsilateral stroke only in men. Our findings suggest that characteristics of the stenosis and plaque exert a different effect in modulating vascular risk in the two sexes. Understanding sex differences in cardiovascular disease could help to target sex-specific future therapies."
Stroke	EPI	"Population-based data, which continuously monitors time trends in stroke epidemiology are limited. We investigated the incidence of pathological and etiological stroke subtypes over a 16 year time period.Data were collected within the Erlangen Stroke Project (ESPro), a prospective, population-based stroke register in Germany covering a total study population of 105,164 inhabitants (2010). Etiology of ischemic stroke was classified according to the Trial of Org 10172 in Acute Stroke Treatment (TOAST) criteria.Between January 1995 and December 2010, 3,243 patients with first-ever stroke were documented. The median age was 75 and 55% were females. The total stroke incidence decreased over the 16 year study period in men (Incidence Rate Ratio 1995-1996 vs. 2009-2010 (IRR) 0.78; 95% CI 0.58-0.90) but not in women. Among stroke subtypes, a decrease in ischemic stroke incidence (IRR 0.73; 95% CI 0.57-0.93) and of large artery atherosclerotic stroke (IRR 0.27; 95% CI 0.12-0.59) was found in men and an increase of stroke due to small artery occlusion in women (IRR 2.33; 95% CI 1.39-3.90).Variations in time trends of pathological and etiological stroke subtypes were found between men and women that might be linked to gender differences in the development of major vascular risk factors in the study population."
Stroke	REVIEW	"Stroke is now the leading cause of adult disability in the United States. Women are disproportionately affected by stroke. Women increasingly outnumber men in the elderly population, the period of highest risk for stroke. However, there is also a growing recognition that fundamental sex differences are present that contribute to differential ischemic sensitivity. In addition, gonadal hormone exposure can impact coagulation and fibrinolysis, key factors in the initiation of thrombosis. In this review we will discuss sex differences in stroke, with a focus on platelets, vascular reactivity and coagulation. "
Stroke	MANAG	"Evaluation of: Gattringer T, Ferrari J, Knoflach M et al. Sex-related differences of acute stroke unit care results from an Austrian stroke unit registry. Stroke 45, 1632-1638 (2014). The authors analyzed data from 47,209 patients diagnosed with ischemic stroke or transient ischemic attack from January 2005 to December 2012. In this study, epidemiological data, stroke type, diagnostics and clinical scores were analyzed for age-adjusted preclinical and clinical characteristics as well as quality of acute stroke care. Moreover, outcome at 3 months was included in a multivariate model corrected for demographic and clinical confounders. While there were no reported sex differences in stroke care and thrombolysis rates, males more often received magnetic resonance imaging (MRI) brain scans. From follow-up data, a worse functional outcome was observed for females in univariate and multivariate analysis. In fact, females were less likely to be prescribed statins and more likely to receive antiplatelet therapy. As a stroke risk factor, a higher rate of atrial fibrillation was observed in females. "
Stroke	REVIEW	"Stroke is a major cause of death and disability in adults worldwide. Prevention focused on modifiable risk factors, such as hypertension and hyperlipidemia, has shown them to be of significant importance in decreasing the risk of stroke. Multiple studies have brought to light the differences between men and women with regards to stroke and these risk factors. Women have a higher prevalence of stroke, mortality and disability and it has been shown that preventive and treatment options are not as comprehensive for women. Hence, it is of great necessity to evaluate and summarize the differences in gender and stroke risk factors in order to target disparities and optimize prevention, especially because women have a higher lifetime risk of stroke. The purpose of this review is to summarize sex differences in the prevalence of hypertension and hyperlipidemia. In addition, we will review the sex differences in stroke prevention effectiveness and adherence to blood pressure and cholesterol medications, and suggest future directions for research to reduce the burden of stroke in women. "
Stroke	REVIEW	"Cerebral ischemia caused by loss of blood supply to the brain during cardiac arrest or stroke are major causes of death and disability. Biological sex is an important factor in predicting vulnerability of the brain to an ischemic insult, with males being at higher risk for cardio-cerebrovascular events than females of the same age. However, relative incidence of stroke between the genders appears to normalize at advanced ages. Therefore, many scientists have focused on the mechanisms of sex differences in outcome following brain ischemic injury, with a particular emphasis on the role of sex steroids. The majority of studies indicate that female sex steroids, such as estrogen and progesterone, play important roles in the relative neuroprotection following cerebral ischemia observed in females. However, less is known about male sex steroids and brain damage. This review describes the state of our knowledge of androgen-related contributions to neurological injury and recovery following cerebral ischemia that occurs following stroke. Experimental studies examining the effects of castration, androgenic agonists and antagonists and aging provide valuable insights into the role of androgens in clinical outcome following cerebrovascular events. "
Stroke	EPI	"Silent brain infarcts (SBIs) are detected by neuroimaging in approximately 20% of elderly patients in population-based studies. Limited evidence is available for hypertensives at low cardiovascular risk countries. Investigating Silent Strokes in Hypertensives: a Magnetic Resonance Imaging Study (ISSYS) is aimed to assess the prevalence and risk factors of SBIs in a hypertensive Mediterranean population. This is a cohort study in randomly selected hypertensives, aged 50 to 70 years old, and free of clinical stroke and dementia. On baseline, all participants underwent a brain magnetic resonance imaging to assess prevalence and location of silent infarcts, and data on vascular risk factors, comorbidities, and the presence of subclinical cardiorenal damage (left ventricular hypertrophy and microalbuminuria) were collected. Multivariate analyses were performed to determine SBIs associated factors. A total of 976 patients (49.4% men, mean age 64 years) were enrolled, and 163 SBIs were detected in 99 participants (prevalence 10.1%; 95% CI, 8.4%-12.2%), most of them (64.4%) located in the basal ganglia and subcortical white matter. After adjustment, besides age and sex, microalbuminuria and increasing total cardiovascular risk (assessed by the Framingham-calibrated for Spanish population risk function) were independently associated with SBIs. Male sex increased the odds of having SBIs in 2.5 as compared with females. Our results highlight the importance of considering both global risk assessment and sex differences in hypertension and may be useful to design future preventive interventions of stroke and dementia. "
Stroke	MANAG	"Evidence for gender disparity in response to pharmacological thrombolysis for acute stroke treatment is inconclusive.To compare the effectiveness and safety of alteplase used in the treatment of male and female stroke patients.One thousand and seventy-seven patients who recently had their first-ever clinically apparent stroke (group I: 113 patients treated with intravenous alteplase and group II: 964 not treated with alteplase) were qualified. Groups I and II were divided into subgroups based on gender and were analysed based on: the age when they had a stroke, presence of key stroke risk factors (quantitatively: ‰ä_ or >3), neurological state according to NIHSS in the first day of stroke, mortality rate, and the modified Rankin scale (mRS) at day 90 after the stroke. In group I, other determinants were additionally assessed: recent lesions as appeared on CT scans of the head in the first day of stroke and 24 hours after recombinant tissue plasminogen activator (rtPA), neurological state according to NIHSS in the second day of stroke, and the incidence of iatrogenic bleeding.The age of the onset of stroke was older in women both in group I and group II. Apart from lipid disorders, no statistically significant differences in the distribution of other risk factors for stroke between groups I and II were found. The neurological state (according to the NIHSS scale) on the first day of the disease was significantly more severe in women both in group I and group II. In group II, the level of functioning according to the mRS scale at day 90 day after the onset of the disease was significantly more severe in women; there was no significant difference in group I. Among patients from group I, a significantly greater improvement, according to the NIHSS scale, was found in women 24 hours after rtPA administration in comparison with men. The presence of focal ischemia, responsible for the occurrence of stroke, on the CTs of the head performed 24 hours after rtPA administration, was also significantly more often found in women (in group I). No statistically significant differences in the incidence of complications after rtPA between women and men in group I were observed. In multivariate methods, we did not find any impact of factors other than gender on the outcome after stroke.The use of alteplase in women during the treatment of stroke is associated with a greater and faster improvement in their neurological state in comparison with men. Treating stroke with alteplase in women improves long-term prognosis regarding self-efficacy in everyday functioning. Finally, there are no gender-related differences regarding the safety of intravenous thrombolytic therapy."
Stroke	EPI	"Gender difference has been reported in stroke risk factors and disease history. The aim of this study was to compare risk factors and the severity of ischemic stroke based upon modified Rankin Scale (mRS) and hospital mortality between two genders.In a cross-sectional study, 341 patients (44% males and 56% females with a mean age of 68.94 å± 12.74 years) with ischemic stroke, who were hospitalized in the neurology wards of two referral university hospital of North-West Iran (Imam Reza and Razi Hospitals), from the beginning to the end of 2011 were selected and assessed. Gender difference in terms of demographic findings, vascular risk factors, 7(th) day mRS, and hospital mortality (during admission) were evaluated.In 2.6% of cases, mRS was found to be less than 2 (favorable) and in 97.4% of cases; mRS was 2-5 (with disability). No significant difference in ischemic stroke severity based on mRS was observed between two genders. There was a significant difference in the rate of hypertension (females = 72.3%, males = 59.3%, P = 0.010), diabetes (females = 28.8%, males = 18.7%, P = 0.030), smoking (females = 6.3%, males = 35.3%, P < 0.001). No significant difference was seen in other risk factors between two genders. There was no significant difference in the mortality rate, which constituted 8.9% and 4.7% in females and males respectively (P = 0.140).The evidence from the present study suggests that despite the existence of some difference between risk-factors in two genders, there was no difference in terms of ischemic stroke severity and mortality rate between two genders."
