Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
20,25659352,No," Peter L Kolominsky-Rabas Affiliation=Interdisciplinary Centre for Health Technology Assessment (HTA) and Public Health, Friedrich-Alexander University of Erlangen-NÃ¼rnberg, Erlangen-NÃ¼rnberg, Germany.,",Time Trends in Incidence of Pathological and Etiological Stroke Subtypes during 16 Years: The Erlangen Stroke Project.,Neuroepidemiology,2015,EPI,Human,3243
21,24560819,Yes," Meaghan Roy-O'Reilly Affiliation=University of Connecticut Health Center, School of Medicine, USA.,",Sex differences in stroke: the contribution of coagulation.,Experimental neurology,2014 Sep,REVIEW,Human,na
22,25335538,No," Valentina Arnao Affiliation=Department of Experimental Biomedicine & Clinical Neurosciences, University of Palermo, Palermo, Italy.,",Sex-related differences of acute stroke unit care: results from the Austrian stroke unit registry.,"Women's health (London, England)",2014 Sep,MANAG,Human,47209
23,25335544,Yes," Sanam Baghshomali Affiliation=Department of Neurology, Wake Forest School of Medicine, Winston Salem, NC 27157, USA.,",Reducing stroke in women with risk factor management: blood pressure and cholesterol.,"Women's health (London, England)",2014 Sep,REVIEW,Human,na
24,24512750,Yes," Nidia Quillinan Affiliation=Department of Anesthesiology, University of Colorado Denver, Anschutz Medical Campus, 12800 E. 19th Ave., Aurora, CO 80045, USA.,","Androgens and stroke: good, bad or indifferent?",Experimental neurology,2014 Sep,REVIEW,Human,na
25,24958500,No," Pilar Delgado Affiliation=From the Neurovascular Research Laboratory, Vall Hebron Research Institute (P.D., I.R.-L., A.L.-R., C.N., J.M.), Barcelona City Research Support Unit-IDIAP Jordi Gol (X.M., F.O.), Departament de Medicina (J.L.), and Departament d'Infermeria (J.M.M.), Universitat AutÃ²noma de Barcelona, Bellaterra, Spain,",Prevalence and associated factors of silent brain infarcts in a Mediterranean cohort of hypertensives.,Hypertension,2014 Sep,EPI,Human,976
26,24620981,No," Anetta Lasek-Bal,",Efficacy and safety assessment of alteplase in the treatment of stroke - gender differences.,Neurological research,2014 Sep,MANAG,Human,1077
27,25632333,No," Mahnaz Talebi Affiliation=Department of Neurology, Neurosciences Research Center (NSRC), School of Medicine, Tabriz University of Medical Sciences, Tabriz, Iran.,",A comparison of risk factors and severity of ischemic stroke in female and male genders in North-West Iran: A cross-sectional study.,Iranian journal of neurology,2014 Oct 6,EPI,Human,341
28,25276492,Yes," Ashley B Petrone Affiliation=Center for Neuroscience, West Virginia University School of Medicine, WV 26506, USA ,",17Î²-estradiol and inflammation: implications for ischemic stroke.,Aging and disease,2014 Oct,REVIEW,Human,na
29,25499348,No," Tommy Andersson Affiliation=Department of Cardiology, Ã–rebro University Hospital, Ã–rebro, Sweden. Electronic address: catronius1970@yahoo.se.,",Gender-related differences in risk of cardiovascular morbidity and all-cause mortality in patients hospitalized with incident atrial fibrillation without concomitant diseases: a nationwide cohort study of 9519 patients.,International journal of cardiology,2014 Nov 15,EPI,Human,21987
30,24969725,No," Stephanie J Murphy Affiliation=Department of Anesthesiology & Perioperative Medicine, Oregon Health & Science University, Portland, OR, USA.,",Sex differences in microRNA expression during developmentin rat cortex.,Neurochemistry international,2014 Nov,PP,Rat,na
31,25389958,No," S Park Affiliation=Byung Kook Lee, Ph.D, Korea Industrial Health Association, 1490-32 Seocho-3 Dong, Seocho-Ku, Seoul, 137-870, South Korea, Tel: 82-41-530-1760, E-mail: bklee@kiha21.or.kr.,","A positive association between stroke risk and sarcopenia in men aged â‰¥ 50 years, but not women: results from the Korean National Health and Nutrition Examination Survey 2008-2010.","The journal of nutrition, health & aging",2014 Nov,EPI,Human,7208
32,24577725,No," Wenhui Zhao Affiliation=Pennington Biomedical Research Center, 6400 Perkins Road, Baton Rouge, LA, 70808, USA.,",Sex differences in the risk of stroke and HbA1c among diabetic patients.,Diabetologia,2014 May,EPI,Human,30154
33,24305974,Yes," C L Cove Affiliation=Christina L. Cove, MD, Crosstown 2075-D, 801 Massachusetts Avenue, Boston, MA 02118, USA, Tel.: +1 617 414 6908, Fax: +1 617 414 4676, E-mail: christina.cove@bmc.org.,",Female sex as an independent risk factor for stroke in atrial fibrillation: Possible mechanisms.,Thrombosis and haemostasis,2014 Mar 3,REVIEW,Human,na
34,24510493,No," Cheryl D Bushnell Affiliation=From Wake Forest School of Medicine (C.D.B.), Department of Neurology and Women's Health Center of Excellence for Leadership, Research, and Education, Winston-Salem, NC,",Sex differences in quality of life after ischemic stroke.,Neurology,2014 Mar 18,OUTC,Human,1370
35,23967876,No," Linda N Bakken Affiliation=Faculty of Health Sciences, Buskerud University College, Drammen, Norway,","Subjective sleep quality in relation to objective sleep estimates: comparison, gender differences and changes between the acute phase and the six-month follow-up after stroke.",Journal of advanced nursing,2014 Mar,OUTC,Human,100
36,24457292,No," Brad R S Broughton Affiliation=From the Vascular Biology and Immunopharmacology Group, Department of Pharmacology, Monash University, Clayton, Victoria, Australia (B.R.S.B., V.H.B., H.A.K., S.L., H.X.C., C.V.G.-M., E.G., M.A.E., A.A.M., G.R.D., C.G.S.),",Sex-dependent effects of g protein-coupled estrogen receptor activity on outcome after ischemic stroke.,"Stroke, a journal of cerebral circulation",2014 Mar,PP,Mouse,na
37,24613026,No," Sanne A E Peters Affiliation=Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, Utrecht, Netherlands,","Diabetes as a risk factor for stroke in women compared with men: a systematic review and meta-analysis of 64 cohorts, including 775â€ˆ385 individuals and 12â€ˆ539 strokes.",Lancet,2014 Jun 7,REVIEW,Human,775385
38,24411132,No," Xiaoning Wu Affiliation=Department of Neurology, First Affiliated Hospital of Liaoning Medical University, No. 2, Fifth Duan, Renmin Street, Jinzhou 121001, Liaoning Province, China.,",Sex differences in health-related quality of life among adult stroke patients in Northeastern China.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2014 Jun,OUTC,Human,na
39,24194419,No," AdriÃ  Arboix Affiliation=Cerebrovascular Division, Department of Neurology, Hospital Universitari del Sagrat Cor, University of Barcelona, Viladomat 288, 08029, Barcelona, Catalonia, Spain, aarboix@hscor.com.,",Clinical characteristics of acute lacunar stroke in women: emphasis on gender differences.,Acta neurologica Belgica,2014 Jun,EPI,Human,733
40,24736241,No," Jinghua Wang Affiliation=From the Departments of Epidemiology (J.W., X.N., J.T., C.Z.) and Neuro-Immunology (L.Y.), Tianjin Neurological Institute, Tianjin, China,","Sex differences in trends of incidence and mortality of first-ever stroke in rural Tianjin, China, from 1992 to 2012.","Stroke, a journal of cerebral circulation",2014 Jun,EPI,Human,14920
41,24736235,No," Thomas Gattringer Affiliation=From the Department of Neurology (T.G., S.H., K.N., V.C., M.B., C.E., F.F.) and Division of Neuroradiology, Department of Radiology (C.E.), Medical University of Graz, Graz, Austria,",Sex-related differences of acute stroke unit care: results from the Austrian stroke unit registry.,"Stroke, a journal of cerebral circulation",2014 Jun,MANAG,Human,47209
42,25119933,No," Tiago da Silva Alexandre Affiliation=Departamento de Gerontologia, Universidade Federal de SÃ£o Carlos, SÃ£o Carlos, SP, Brasil.,",Disability in instrumental activities of daily living among older adults: gender differences.,Revista de saÃºde pÃºblica,2014 Jun,OUTC,Human,1034
43,24916911,No," Gregory Y H Lip Affiliation=From the University of Birmingham Centre for Cardiovascular Sciences, City Hospital, Birmingham, United Kingdom (G.Y.H.L.),",Modification of outcomes with aspirin or apixaban in relation to female and male sex in patients with atrial fibrillation: a secondary analysis of the AVERROES study.,"Stroke, a journal of cerebral circulation",2014 Jul,MANAG,Human,na
44,24448876,No," Grace Oluwatitofunmi Vincent-Onabajo Affiliation=Department of Medical Rehabilitation (Physiotherapy), University of Maiduguri, Maiduguri, Borno State, Nigeria.,",Are there gender differences in longitudinal patterns of functioning in Nigerian stroke survivors during the first year after stroke?,NeuroRehabilitation,2014 Jan 1,OUTC,Human,55
45,24011811,No," Randolph P Guzman Affiliation=Section of Vascular Surgery, Department of Surgery, Saint Boniface Hospital, Winnipeg, Manitoba, Canada,",Female sex does not influence 30-day stroke and mortality rates after carotid endarterectomy.,Annals of vascular surgery,2014 Jan,EPI,Human,1046
46,24315113,Yes," Samir B Pancholy Affiliation=Department of Medicine and Cardiology, The Wright Center for Graduate Medical Center, Scranton, Pennsylvania. Electronic address: pancholys@gmail.com.,",Meta-analysis of gender differences in residual stroke risk and major bleeding in patients with nonvalvular atrial fibrillation treated with oral anticoagulants.,The American journal of cardiology,2014 Feb 1,REVIEW,Human,na
47,24399163,No," Kendrea L Focht Affiliation=Kendrea L. Focht, CScD, is a Doctoral Student in the Department of Health Sciences & Research, Medical University of South Carolina, Charleston, SC. Alison M. Gogue, MS, is a Doctoral Student in the Department of Health Sciences & Research, Medical University of South Carolina, Charleston, SC. Brandi M. White, MPH, is a Doctoral Student in the Department of Health Sciences & Research, Medical University of South Carolina, Charleston, SC. Questions or comments about this article may be directed to Charles Ellis, PhD, at ellisc@musc.edu. He is an Associate Professor at the Department of Health Sciences & Research, Medical University of South Carolina, Charleston, SC. This work was supported by a pilot grant to Dr. Ellis from the Medical University of South Carolina Center for Health Disparities Research. The authors declare no conflicts of interest.,",Gender differences in stroke recognition among stroke survivors.,The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,2014 Feb,MANAG,Human,71
48,24469554,Yes," Rossella Marcucci Affiliation=Department of Experimental and Clinical Medicine, University of Florence, Largo Brambilla 3, 50050, Florence, Italy, rossella.marcucci@unifi.it.,",Gender and Anti-thrombotic Therapy: from Biology to Clinical Implications.,Journal of cardiovascular translational research,2014 Feb,REVIEW,Human,na
49,25459238,No," AdriÃ  Arboix Affiliation=Cerebrovascular Division, Department of Neurology, Hospital Universitari del Sagrat Cor, Universitat de Barcelona, Barcelona, Catalonia, Spain. Electronic address: aarboix@hscor.com.,",Gender differences and woman-specific trends in acute stroke: results from a hospital-based registry (1986-2009).,Clinical neurology and neurosurgery,2014 Dec,EPI,Human,4592
50,25422086,Yes," Tracy E Madsen Affiliation=Department of Emergency Medicine, The Alpert Medical School of Brown University Rhode Island Hospital, Providence, RI.,",Gender differences in neurologic emergencies part I: a consensus summary and research agenda on cerebrovascular disease.,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,2014 Dec,REVIEW,Human,na
51,24769474,Yes," Man Mohan Mehndiratta Affiliation=Department of Neurology, Janakpuri Superspeciality Hospital, New Delhi, India.,",Stroke in Asia: geographical variations and temporal trends.,"Journal of neurology, neurosurgery, and psychiatry",2014 Dec,REVIEW,Human,na
52,24633256,Yes," A J Wagstaff Affiliation=From the University of Birmingham Centre for Cardiovascular Sciences, City Hospital, Dudley Road, Birmingham B18 7QH, UK, The Medical School, University of Birmingham, Edgbaston, Birmingham B15 2TT, UK, Department of Cardiology, Aalborg University Hospital, Forskningens Hus, SÃ¸ndre Skovvej 15, 9000 Aalborg, Denmark and Aalborg Thrombosis Research Unit, Department of Clinical Medicine, Aalborg University, Forskningens Hus, SÃ¸ndre Skovvej 15, 9000 Aalborg, Denmark From the University of Birmingham Centre for Cardiovascular Sciences, City Hospital, Dudley Road, Birmingham B18 7QH, UK, The Medical School, University of Birmingham, Edgbaston, Birmingham B15 2TT, UK, Department of Cardiology, Aalborg University Hospital, Forskningens Hus, SÃ¸ndre Skovvej 15, 9000 Aalborg, Denmark and Aalborg Thrombosis Research Unit, Department of Clinical Medicine, Aalborg University, Forskningens Hus, SÃ¸ndre Skovvej 15, 9000 Aalborg, Denmark.,",Is female sex a risk factor for stroke and thromboembolism in patients with atrial fibrillation? A systematic review and meta-analysis.,QJM : monthly journal of the Association of Physicians,2014 Dec,REVIEW,Human,na
53,25606450,No," Murali Vijayan Affiliation=Department of Biotechnology & Genetic Engineering, Bharathidasan University, Tiruchirappalli-620 024, Tamil Nadu, India.,",ACE-II genotype and I allele predicts ischemic stroke among males in south India.,Meta gene,2014 Dec,PP,Human,393
54,24148312,No," Tai Hwan Park Affiliation=Department of Neurology, Seoul Medical Center, Seoul, Republic of Korea.,",Gender differences in the age-stratified prevalence of risk factors in Korean ischemic stroke patients: a nationwide stroke registry-based cross-sectional study.,International journal of stroke : official journal of the International Stroke Society,2014 Aug,EPI,Human,9417
55,24508640,No," Kristen L Zuloaga Affiliation=Department of Anesthesiology and Perioperative Medicine and The Knight Cardiovascular Institute, Oregon Health and Science University, Portland, Oregon.,",Role of aromatase in sex-specific cerebrovascular endothelial function in mice.,American journal of physiology. Heart and circulatory physiology,2014 Apr,PP,Mouse,na
56,24468069,No," Amelia K Boehme Affiliation=Department of Epidemiology, School of Public Health, University of Alabama at Birmingham, Birmingham, Alabama,","Racial and gender differences in stroke severity, outcomes, and treatment in patients with acute ischemic stroke.",Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2014 Apr,MANAG,Human,4925
57,24574964,No," Theresa A Lusardi Affiliation=Dow Neurobiology Laboratories, Legacy Research Institute Portland, OR, USA.,",MicroRNA responses to focal cerebral ischemia in male and female mouse brain.,Frontiers in molecular neuroscience,2014,PP,Mouse,na
58,24647327,No," Sukjin Koh,",Stroke experiences in weblogs: a feasibility study of sex differences.,Journal of medical Internet research,2014,CLIN,Human,191
59,24686293,No," Qianyi Wang Affiliation=Department of Epidemiology, University of California, San Francisco, Calif., USA.,","Changes in Memory before and after Stroke Differ by Age and Sex, but Not by Race.","Cerebrovascular diseases (Basel, Switzerland)",2014,EPI,Human,17341
60,24372213,No," Y Chen,",Targeting microglial activation in stroke therapy: pharmacological tools and gender effects.,Current medicinal chemistry,2014,REVIEW,na,na
61,25182069,No," Junshan Zhou,","Sex differences in clinical characteristics and outcomes after intracerebral haemorrhage: results from a 12-month prospective stroke registry in Nanjing, China.",BMC neurology,2014,OUTC,Human,651
62,25331941,No," Lin Liu,",Genetic deletion of calcium/calmodulin-dependent protein kinase kinase Î² (CaMKK Î²) or CaMK IV exacerbates stroke outcomes in ovariectomized (OVXed) female mice.,BMC neuroscience,2014,PP,Mouse,na
63,24938405,No," Kiyuri Naicker,",Quality of cardiovascular disease care in Ontario's primary care practices: a cross sectional study examining differences in guideline adherence by patient sex.,BMC family practice,2014,MANAG,Human,4931
64,25642188,No," Kristen L Zuloaga Affiliation=Department of Anesthesiology and Perioperative Medicine, The Knight Cardiovascular Institute, Oregon Health and Science University Portland, OR, USA.,",Soluble epoxide hydrolase gene deletion improves blood flow and reduces infarct size after cerebral ischemia in reproductively senescent female mice.,Frontiers in pharmacology,2014,PP,Mouse,na
65,25401293,No," Carolyn M Mazure Affiliation=Department of Psychiatry, Yale University School of Medicine, New Haven, Conn., USA.,",Gender and stress in predicting depressive symptoms following stroke.,"Cerebrovascular diseases (Basel, Switzerland)",2014,CLIN,Human,43
66,25036109,No," Boryana Stamova Affiliation=Department of Neurology and MIND Institute, University of California Davis, Sacramento, California, United States of America.,",Gene expression in peripheral immune cells following cardioembolic stroke is sexually dimorphic.,PloS one,2014,PP,Human,46
67,25170809,Yes," Naoki Tajiri Affiliation=Center of Excellence for Aging & Brain Repair, Department of Neurosurgery and Brain Repair, University of South Florida College of Medicine, 12901 Bruce B. Downs Blvd., Tampa, FL 33612, USA. ntajiri@health.usf.edu.,",Adult stem cell transplantation: is gender a factor in stemness?,International journal of molecular sciences,2014,REVIEW,Human,na
68,23968793,No," Lindy L Weaver Affiliation=School of Health and Rehabilitation Sciences, The Ohio State University Wexner Medical Center, Columbus, OH, USA.,",Minimal depression: how does it relate to upper-extremity impairment and function in stroke?,The American journal of occupational therapy : official publication of the American Occupational Therapy Association,2013 Sep-Oct,OUTC,Human,na
69,23375056,No," Yutao Guo Affiliation=Haemostasis, Thrombosis and Vascular Biology Unit, University of Birmingham Centre for Cardiovascular Sciences, City Hospital, Birmingham, United Kingdom,",Relation of renal dysfunction to the increased risk of stroke and death in female patients with atrial fibrillation.,International journal of cardiology,2013 Sep 30,EPI,Human,1034
70,23887843,No," Inger de Ridder Affiliation=Department of Neurology, Erasmus MC University Medical Center, Rotterdam, The Netherlands. i.deridder@erasmusmc.nl,",Unequal access to treatment with intravenous alteplase for women with acute ischemic stroke.,"Stroke, a journal of cerebral circulation",2013 Sep,MANAG,Human,5515
71,23756694,Yes," Claire L Gibson Affiliation=School of Psychology, University of Leicester, Lancaster Road, Leicester, UK. cg95@le.ac.uk,",Cerebral ischemic stroke: is gender important?,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2013 Sep,REVIEW,Human,na
72,24579386,No," A Ojagbemi Affiliation=Department of Psychiatry, College of Medicine, University of Ibadan, Ibadan, Nigeria. drakinjagbemi@yahoo.com,","Stroke lesions and post-stroke depression among survivors in Ibadan, Nigeria.",African journal of medicine and medical sciences,2013 Sep,OUTC,Human,30
73,23532768,No," S Nakayama Affiliation=Department of Anesthesiology and Perioperative Medicine, Oregon Health and Science University, Portland, OR, USA.,",Sexually dimorphic response of TRPM2 inhibition following cardiac arrest-induced global cerebral ischemia in mice.,Journal of molecular neuroscience : MN,2013 Sep,PP,Mouse,na
74,23871354,No," Silvia Koton Affiliation=The Sackler Faculty of Medicine, Tel-Aviv University, Tel Aviv, Israel. Electronic address: koton@post.tau.ac.il.,","Gender differences in characteristics, management and outcome at discharge and three months after stroke in a national acute stroke registry.",International journal of cardiology,2013 Oct 9,OUTC,Human,5034
75,22939200,No," Koichiro Maeda Affiliation=Department of Cerebrovascular Medicine, National Cerebral and Cardiovascular Center, Suita, Osaka.,",Effects of sex difference on clinical features of acute ischemic stroke in Japan.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2013 Oct,EPI,Human,33953
76,22142780,No," David DeVries Affiliation=Division of Public Health, Nebraska Department of Health and Human Services, Lincoln.,",Gender difference in stroke case fatality: an integrated study of hospitalization and mortality.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2013 Oct,OUTC,Human,15806
77,23811611,Yes," Farida Sohrabji Affiliation=Department of Neuroscience and Experimental Therapeutics, Women's Health in Neuroscience Program, Texas A&M HSC College of Medicine, Bryan, TX 77807, United States. Sohrabji@medicine.tamhsc.edu,",Age-related changes in brain support cells: Implications for stroke severity.,Neurochemistry international,2013 Oct,REVIEW,Human,na
78,24285963,No," Hua Liu Affiliation=Department of Neurology, the Second Clinical Medical College of North Sichuan Medical College, Nanchong, PR China. ,",MRAS Genetic Variation Is Associated with Atherothrombotic Stroke in the Han Chinese Population.,"Journal of clinical neurology (Seoul, Korea)",2013 Oct,PP,Human,380
79,22748715,No," Deborah A Levine Affiliation=Division of General Medicine, University of Michigan Health System, and Ann Arbor Veterans Affairs Healthcare System, Ann Arbor, Michigan,",Impact of gender and blood pressure on poststroke cognitive decline among older Latinos.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2013 Oct,OUTC,Human,1576
80,24187596,No," Anirban Banerjee,",Phenotypic changes in immune cell subsets reflect increased infarct volume in male vs. female mice.,Translational stroke research,2013 Oct,PP,Mouse,na
81,23660344,No," Amytis Towfighi Affiliation=Department of Neurology at the University of Southern California, Los Angeles, California,",Sex differences in revascularization interventions after acute ischemic stroke.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2013 Nov,MANAG,Human,605960
82,23982712,No," Kazuma Nakagawa Affiliation=From The Queen's Medical Center, Honolulu, HI (K.N., M.A.V., T.B.S., M.A.K., S.M.A., C.W.J.C.),",Sex differences in the use of early do-not-resuscitate orders after intracerebral hemorrhage.,"Stroke, a journal of cerebral circulation",2013 Nov,MANAG,Human,372
83,23631651,Yes," R Wong Affiliation=Division of Stroke, University of Nottingham, Nottingham, UK.,",Progesterone and cerebral ischaemia: the relevance of ageing.,Journal of neuroendocrinology,2013 Nov,REVIEW,Miscellaneous,na
84,23837733,No," N Yesilot Barlas Affiliation=Department of Neurology, Istanbul Faculty of Medicine, Istanbul University, Istanbul, Turkey.,",Etiology of first-ever ischaemic stroke in European young adults: the 15 cities young stroke study.,European journal of neurology : the official journal of the European Federation of Neurological Societies,2013 Nov,EPI,Human,3331
85,23403179,No," C S Siegel,",NAD+ and nicotinamide: sex differences in cerebral ischemia.,Neuroscience,2013 May 1,PP,Mouse,n.a.
86,23469849,Yes," Yuji Kaneko Affiliation=Center of Excellence for Aging and Brain Repair, Department of Neurosurgery and Brain Repair. University of South Florida, College of Medicine, 12901 Bruce B. Downs Blvd., Tampa, FL 33612, USA.,",The battle of the sexes for stroke therapy: female- versus male-derived stem cells.,CNS & neurological disorders drug targets,2013 May 1,REVIEW,Human,na
87,23503729,Yes," Melinda E Wilson,",Stroke: understanding the differences between males and females.,PflÃ¼gers Archiv : European journal of physiology,2013 May,REVIEW,"Human, Animal",n.a.
88,23504411,No," J Frewen,",Factors that influence awareness and treatment of atrial fibrillation in older adults.,QJM : monthly journal of the Association of Physicians,2013 May,EPI,Human,4890
89,23167980,No," P Santalucia,","Sex differences in clinical presentation, severity and outcome of stroke: Results from a hospital-based registry.",European journal of internal medicine,2013 Mar,Clinical,Human,1272
90,23349190,No," Paco S Herson,",Experimental Pediatric Arterial Ischemic Stroke Model Reveals Sex-specific Estrogen Signaling.,"Stroke, a journal of cerebral circulation",2013 Mar,Pathophysiology,Mouse,na
91,24060720,No," Mohammad Alqahtani Affiliation=Dr. Mohammad Alqahtani, King Abdulaziz Medical City,, PO Box 22490, Riyadh 11426, Saudi Arabia, drqahtani@yahoo.com.,",Gender differences in the clinical characteristics of Saudi heart failure patients with subsequent stroke.,Annals of Saudi medicine,2013 Jul-Aug,EPI,Human,293
