Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients,
36,24326988,No," Julie C Lauffenburger Affiliation=Division of Pharmaceutical Outcomes and Policy, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill (J.C.L., C.O., G.F.),",Racial/Ethnic and gender gaps in the use of and adherence to evidence-based preventive therapies among elderly medicare part d beneficiaries after acute myocardial infarction.,Circulation,2014 Feb 18,MANAG,Human,85017,
37,24424037,No," Thi Y L Le Affiliation=Kolling Institute of Medical Research (T.Y.L.L., A.W.A., M.M., A.S.M.), Royal North Shore Hospital and The University of Sydney,",Role of androgens in sex differences in cardiac damage during myocardial infarction.,Endocrinology,2014 Feb,PP,Rat,na,
38,24457785,No," Christina M Trambas Affiliation=1Alfred Pathology Service, The Alfred Hospital, Melbourne 2Health Informatics, The Alfred Hospital, Melbourne, Vic, Australia.,",Gender differences in cardiac troponin I.,Pathology,2014 Feb,MANAG,Human,2635,
39,24469554,Yes," Rossella Marcucci Affiliation=Department of Experimental and Clinical Medicine, University of Florence, Largo Brambilla 3, 50050, Florence, Italy, rossella.marcucci@unifi.it.,",Gender and Anti-thrombotic Therapy: from Biology to Clinical Implications.,Journal of cardiovascular translational research,2014 Feb,REVIEW,Human,na,
40,22997352,No," Alessandra Buja Affiliation=University of Padua, Padua, Italy.,",Tackling inequalities: are secondary prevention therapies for reducing post-infarction mortality used without disparities?,European journal of preventive cardiology,2014 Feb,MANAG,Human,1327,
41,25512442,No," Stacy Tessler Lindau Affiliation=From the Department of Obstetrics and Gynecology, Program in Integrative Sexual Medicine (S.T.L., E.M.A.), and the Department of Medicine-Geriatrics, The MacLean Center on Clinical Medical Ethics, Chicago Core on Biomeasures in Population-Based Aging Research at the NORC Chicago Center on Demography and Economics of Aging (S.T.L.), University of Chicago, Chicago, IL,","Sexual activity and counseling in the first month after acute myocardial infarction among younger adults in the United States and Spain: a prospective, observational study.",Circulation,2014 Dec 23,MANAG,Human,3501,
42,25592791,No," Hou Tee Lu Affiliation=Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Kuala Lumpur, Malaysia. Electronic address: lu.hou.tee@monash.edu.,",Sex differences in acute coronary syndrome in a multiethnic asian population: results of the malaysian national cardiovascular disease database-acute coronary syndrome (NCVD-ACS) registry.,Global heart,2014 Dec,MANAG,Human,13591,
43,25052403,Yes," Emily M Bucholz Affiliation=From the Yale University School of Medicine, New Haven, CT (E.M.B.),",Sex differences in long-term mortality after myocardial infarction: a systematic review.,Circulation,2014 Aug 26,REVIEW,Human,na,
44,24925728,No," Elena Corrada Affiliation=Humanitas Clinical and Research Center, Department of Interventional Cardiology, Rozzano, Milan, Italy.,","Eleven-year trends in gender differences of treatments and mortality in ST-elevation acute myocardial infarction in northern Italy, 2000 to 2010.",The American journal of cardiology,2014 Aug 1,OUTC,Human,89562,
45,25098374,No," Renato Rodrigues Sofia Affiliation=Programa de PÃ³s-graduaÃ§Ã£o em CiÃªncias da ReabilitaÃ§Ã£o, Universidade Nove de Julho, SÃ£o Paulo, SP, Brazil.,",Gender-based differences in cardiac remodeling and ILK expression after myocardial infarction.,Arquivos brasileiros de cardiologia,2014 Aug,PP,Rat,na,
46,25158866,No," Bina Ahmed Affiliation=Division of Cardiology, Department of Medicine, University of New Mexico School of Medicine, Albuquerque, NM (B.A., W.K.L.).,","In-hospital mortality among patients with type 2 diabetes mellitus and acute myocardial infarction: results from the national inpatient sample, 2000-2010.",Journal of the American Heart Association,2014 Aug,OUTC,Human,1500000,
47,25343674,Yes," Frederick K Korley Affiliation=Department of Emergency Medicine, Johns Hopkins University School of Medicine, Davis Building, Suite 3220, 5801 Smith Avenue, Baltimore, MD 21209, USA.,",High-sensitivity troponin: where are we now and where do we go from here?,Biomarkers in medicine,2014 Aug,REVIEW,Human,na,
48,24638026,No," Roxanne Pelletier,",Sex-related differences in access to care among patients with premature acute coronary syndrome.,CMAJ : Canadian Medical Association journal ,2014 Apr 15,MANAG,Human,1123,
49,24530665,No," M Odette Gore Affiliation=Department of Internal Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.,",Age- and sex-dependent upper reference limits for the high-sensitivity cardiac troponin T assay.,Journal of the American College of Cardiology,2014 Apr 15,CLIN,Human,na,
50,24608039,No," Viola Vaccarino Affiliation=From the Department of Epidemiology (V.V., A.J.S., C.R., I.I., P.P., P.R.), Rollins School of Public Health, Emory University, Atlanta, Georgia,",Sex differences in mental stress-induced myocardial ischemia in young survivors of an acute myocardial infarction.,Psychosomatic medicine,2014 Apr,EPI,Human,98,
51,24510115,No," Connie N Hess Affiliation=Duke Clinical Research Institute, Durham, NC.,",Sex-Based Differences in Outcomes After Percutaneous Coronary Intervention for Acute Myocardial Infarction: A Report From TRANSLATE-ACS.,Journal of the American Heart Association,2014,OUTC,Human,6218,
52,24752383,No," Hoa L Nguyen Affiliation=Institute of Population, Health and Development, Ha Noi, Viet Nam,","Sex differences in clinical characteristics, hospital management practices, and in-hospital outcomes in patients hospitalized in a vietnamese hospital with a first acute myocardial infarction.",PloS one,2014,OUTC,Human,302,
53,24885137,No," Heidi Borgeraas Affiliation=Morbid Obesity Center, Vestfold Hospital Trust, TÃ¸nsberg, Norway. heibor@siv.no.,",Association of body mass index with risk of acute myocardial infarction and mortality in Norwegian male and female patients with suspected stable angina pectoris: a prospective cohort study.,BMC cardiovascular disorders,2014,EPI,Human,4164,
54,25254632,No," Ville KytÃ¶ Affiliation=Heart Center, Division of Clinical Neurosciences, Neurology and Clinical Research Center, Turku University Hospital, Turku, Finland,",Likelihood and predictors of ST-elevation in patients hospitalized for myocardial infarction.,PloS one,2014,CLIN,Human,68162,
55,24893930,No," Ralf Birkemeyer Affiliation=Department of Cardiology, Heart Center Rostock, Medizinische Klinik I, UniversitÃ¤tsklinikum Rostock, Ernst-Heydemann-Str, 6, 18057 Rostock, Germany. rbirkemeyer@t-online.de.,",Do gender differences in primary PCI mortality represent a different adherence to guideline recommended therapy? a multicenter observation.,BMC cardiovascular disorders,2014,MANAG,Human,1104,
56,25364906,No," Flavia Franconi Affiliation=Laboratory of Gender Medicine, National Institute of Biostructures and Biosystems and Department of Biomedical Sciences, University of Sassari, Sassari, Italy.,",Effects of treatment with zofenopril in men and women with acute myocardial infarction: gender analysis of the SMILE Program.,PloS one,2014,MANAG,Human,3630,
57,23177996,No," C P Gale Affiliation=Centre for Epidemiology and Biostatistics, University of Leeds, Leeds, UK,","Age-dependent inequalities in improvements in mortality occur early after acute myocardial infarction in 478,242 patients in the Myocardial Ischaemia National Audit Project (MINAP) registry.",International journal of cardiology,2013 Sep 30,OUTC,Human,478242,
58,23168004,No," Sofia Sederholm Lawesson Affiliation=Department of Medical and Health Sciences, Division of Cardiovascular Medicine LinkÃ¶ping University Hospital, SE-581 85 LinkÃ¶ping, Sweden.,",A gender perspective on short- and long term mortality in ST-elevation myocardial infarction--a report from the SWEDEHEART register.,International journal of cardiology,2013 Sep 30,OUTC,Human,54146,
59,23103143,No," Paolo Buja Affiliation=Department of Cardiac, Thoracic and Vascular Sciences, University of Padua Medical School, Padua, Italy.,",Gender-related differences of diabetic patients undergoing percutaneous coronary intervention with drug-eluting stents: a real-life multicenter experience.,International journal of cardiology,2013 Sep 20,MANAG,Human,2420,
60,22901693,No," Morten Grundtvig Affiliation=Division Lillehammer, Department of Medicine, Innlandet Hospital Trust, Lillehammer, Norway. mgrundtv@online.no,",Reduced life expectancy after an incident hospital diagnosis of acute myocardial infarction--effects of smoking in women and men.,International journal of cardiology,2013 Sep 10,EPI,Human,2281,
61,23553888,No," Inge Wijnbergen Affiliation=Department of Cardiology, Catharina Hospital Eindhoven, Eindhoven, The Netherlands.,",Gender differences in long-term outcome after primary percutaneous intervention for ST-segment elevation myocardial infarction.,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2013 Sep 1,OUTC,Human,870,
62,23711807,No," Vijay Kunadian Affiliation=Institute of Cellular Medicine, Faculty of Medical Sciences, Newcastle University, Newcastle-upon-Tyne, United Kingdom. vijay.kunadian@newcastle.ac.uk,",Gender comparisons in cardiogenic shock during ST elevation myocardial infarction treated by primary percutaneous coronary intervention.,The American journal of cardiology,2013 Sep 1,OUTC,Human,2864,
63,23359390,No," Kenneth Tandjung Affiliation=Department of Cardiology, Thoraxcentrum Twente, Medisch Spectrum Twente, Enschede, The Netherlands.,","Women treated with second-generation zotarolimus-eluting resolute stents and everolimus-eluting xience V stents: insights from the gender-stratified, randomized, controlled TWENTE trial.",Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2013 Sep 1,MANAG,Human,1391,
64,23958246,No," Giuseppe De Luca Affiliation=Division of Cardiology, Ospedale ""Maggiore della CaritÃ "", Eastern Piedmont University, Novara, Italy. giuseppe.deluca@maggioreosp.novara.it,",Gender-related differences in outcome after BMS or DES implantation in patients with ST-segment elevation myocardial infarction treated by primary angioplasty: insights from the DESERT cooperation.,Atherosclerosis,2013 Sep,OUTC,Human,6298,
65,23817188,Yes," Viola Vaccarino Affiliation=Emory University Rollins School of Public Health and School of Medicine, USA.,","Presentation, management, and outcomes of ischaemic heart disease in women.",Nature reviews. Cardiology,2013 Sep,REVIEW,Human,na,
66,23564923,No," Madonna M Roche Affiliation=Research and Evaluation Department, Newfoundland and Labrador Centre for Health Information, St. John's, Newfoundland and Labrador, Canada. donna.roche@nlchi.nl.ca,","Sex differences in all-cause and cardiovascular mortality, hospitalization for individuals with and without diabetes, and patients with diabetes diagnosed early and late.",Diabetes care,2013 Sep,EPI,Human,73783,
67,23462375,No," Igor Mrdovic Affiliation=School of Medicine, University of Belgrade, Belgrade, Serbia. igormrd@gmail.com,",Sex-related analysis of short- and long-term clinical outcomes and bleeding among patients treated with primary percutaneous coronary intervention: an evaluation of the RISK-PCI data.,The Canadian journal of cardiology,2013 Sep,OUTC,Human,2096,
68,23985106,No," Amal Jamee Affiliation=Foods and chemicals Products Laboratories, Ministry of National Economy. moj_biology@yahoo.com.,",Gender difference and characteristics attributed to coronary artery disease in Gaza-Palestine.,Global journal of health science,2013 Sep,EPI,Human,155,
69,22975714,No," Eiji Oda Affiliation=Medical Check-up Center, Tachikawa Medical Center, Nagachou 2-2-16, Nagaoka, Niigata, 940-0053, Japan, ijie@venus.sannet.ne.jp.,",The association between obesity and acute myocardial infarction is age- and gender-dependent in a Japanese population.,Heart and vessels,2013 Sep,EPI,Human,621,
70,24063913,No," K W Hansen Affiliation=Department of Cardiology, Copenhagen University Hospital Gentofte, Hellerup, Denmark. Electronic address: Kim.Wadt.Hansen@regionh.dk.,",Improved two-year outcomes after drug-eluting versus bare-metal stent implantation in women and men with large coronary arteries: importance of vessel size.,International journal of cardiology,2013 Oct 25,OUTC,Human,2314,
71,24051266,No," Charlotte A Larsson Affiliation=Lund University, Department of Clinical Sciences, MalmÃ¶, Social Medicine and Global Health, SkÃ¥ne University Hospital, Jan WaldenstrÃ¶ms gata 35, 205 02 MalmÃ¶, Sweden,","Clusters of AMI risk factors and their association with left ventricular hypertrophy: a population-based study within the Skaraborg Project, Sweden.",International journal of cardiology,2013 Oct 15,EPI,Human,2328,
72,23827398,No," Stephanie M Meller Affiliation=Department of Internal Medicine (Cardiology), Yale University School of Medicine, New Haven, Connecticut.,",Implications of myocardial reperfusion on survival in women versus men with acute myocardial infarction undergoing primary coronary intervention.,The American journal of cardiology,2013 Oct 15,OUTC,Human,1301,
73,23628331,No," Rachel P Dreyer Affiliation=Cardiology Unit, The Queen Elizabeth Hospital (The Basil Hetzel Institute), Discipline of Medicine, University of Adelaide, Adelaide, South Australia, Australia.,",Evaluation of gender differences in Door-to-Balloon time in ST-elevation myocardial infarction.,"Heart, lung & circulation",2013 Oct,MANAG,Human,735,
74,24377887,No," Lei Song Affiliation=Coronary Heart Disease Center, Cardiovascular Institute and Fuwai Hospital, Chinese Academy of Medical Science and Peking Union Medical College,National Center for Cardiovascular Disease, Beijing 100037, China.,",[Real world thirty-day mortality in female patients with acute myocardial infarction from Beijing].,Zhonghua xin xue guan bing za zhi,2013 Oct,OUTC,Human,471,
75,23344096,No," Mukesh Singh Affiliation=1Department of Cardiology, Chicago Medical School, North Chicago, IL,",Time trends of gender-based differences in lipid goal attainments during secondary prevention of coronary artery disease: results of a 5-year survey.,American journal of therapeutics,2013 Nov-Dec,OUTC,Human,1365,
76,24043208,No," Nadia A Khan Affiliation=Department of Medicine, Center for Health Evaluation and Outcomes Science, University of British Columbia, Vancouver, British Columbia, Canada.,",Sex differences in acute coronary syndrome symptom presentation in young patients.,JAMA internal medicine,2013 Nov 11,CLIN,Human,1015,
77,24176439,No," Tor Melberg Affiliation=Department of Cardiology, Stavanger University Hospital, Stavanger, Norway. Electronic address: meto@sus.no.,",Gender-specific ambulance priority and delays to primary percutaneous coronary intervention: a consequence of the patients' presentation or the management at the emergency medical communications center?,American heart journal,2013 Nov,MANAG,Human,244,
78,23190156,No," G Egiziano,",Sex differences in young patients with acute myocardial infarction.,Diabetic medicine : a journal of the British Diabetic Association,2013 Mar,Epidemiology,Human,215,
79,23053858,No," Birgit Langhans,",Gender differences in contrast-enhanced magnetic resonance imaging after acute myocardial infarction.,The international journal of cardiovascular imaging,2013 Mar,CLIN,Human,448,
80,23685743,No," Quynh A Truong Affiliation=Cardiac MR PET CT Program, Division of Cardiology and Department of Radiology, Massachusetts General Hospital and Harvard Medical School, 165 Cambridge St, Ste 400, Boston, MA 02114, USA. qtruong@partners.org,",Sex differences in the effectiveness of early coronary computed tomographic angiography compared with standard emergency department evaluation for acute chest pain: the rule-out myocardial infarction with Computer-Assisted Tomography (ROMICAT)-II Trial.,Circulation,2013 Jun 25,MANAG,Human,1000,
81,23265097,No," Husam M Abdel-Qadir,",Sex differences in the management and outcomes of ontario patients with cardiogenic shock complicating acute myocardial infarction.,The Canadian journal of cardiology,2013 Jun,CLIN,Human,9750,
82,23444979,No," Pia AlsÃ©n,",Fatigue after myocardial infarction - a two-year follow-up study.,Journal of clinical nursing,2013 Jun,CLIN,Human,155,
83,22914306,No," Paolo Ortolani Affiliation=Istituto di Cardiologia, UniversitÃ  di Bologna, Policlinico S. Orsola-Malpighi, Bologna, Italy. paortol@tin.it,",Relevance of gender in patients with acute myocardial infarction undergoing coronary interventions.,"Journal of cardiovascular medicine (Hagerstown, Md.)",2013 Jun,OUTC,Human,18351,
84,24060711,No," Ahmad Hersi Affiliation=Dr. Ahmad Hersi, Colllege of Medicine,, King Saud University,, Cardaic Science,, King Khalid University Hospital,, Riyadh 11472, Saudi Arabia, ahersi@ksu.edu.sa.,",Gender inequality in the clinical outcomes of equally treated acute coronary syndrome patients in Saudi Arabia.,Annals of Saudi medicine,2013 Jul-Aug,OUTC,Human,5061,
85,23628307,No," Rachel P Dreyer Affiliation=Cardiology Unit, Queen Elizabeth Hospital, Basil Hetzel Institute, Discipline of Medicine, University of Adelaide, Adelaide, South Australia.,",Cardiac hemodynamics in men versus women during acute ST-segment elevation myocardial infarction.,The American journal of cardiology,2013 Jul 15,CLIN,Human,470,
86,23642501,Yes," Nikolaos A Papakonstantinou Affiliation=General Surgery Department, University Hospital of Ioannina, School of Medicine, 45500 Ioannina, Greece. nikppk@yahoo.gr,",Sex differentiation with regard to coronary artery disease.,Journal of cardiology,2013 Jul,REVIEW,Human,na,
87,23816018,No," Cathrin Balmelli Affiliation=Department of Cardiology, University Hospital, Basel, Switzerland.,","Comparison of the performances of cardiac troponins, including sensitive assays, and copeptin in the diagnostic of acute myocardial infarction and long-term prognosis between women and men.",American heart journal,2013 Jul,CLIN,Human,1247,
88,23040599,No," Jonathan D Newman,",Gender differences in calls to 9-1-1 during an acute coronary syndrome.,The American journal of cardiology,2013 Jan 1,Management,Human,476,
89,23150690,No," Mahir Karakas,","Low levels of serum 25-hydroxyvitamin D are associated with increased risk of myocardial infarction, especially in women: results from the MONICA/KORA Augsburg case-cohort study.",The Journal of clinical endocrinology and metabolism,2013 Jan,Clinical,Human,1783,
90,23201191,No," Nicole Huang,","Gender disparities in AMI management and outcomes among health professionals, their relatives, and non-health professionals in Taiwan from 1997 to 2007.",Social science & medicine (1982),2013 Jan,Management,Human,79360,
91,23569150,No," Xueling Wang,",Treatment-seeking delays in patients with acute myocardial infarction and use of the emergency medical service.,The Journal of international medical research,2013 Feb,EPI,Human,250,
92,24149976,No," Jing Li Affiliation=From the Division of Cardiology, Xuanwu Hospital Capital Medical University, Beijing, China (J.L., Q.H.),",Sex-related differences in fractional flow reserve-guided treatment.,Circulation. Cardiovascular interventions,2013 Dec 1,CLIN,Human,1090,
