Nr	Pubmed_ID	Review	Author	Title	Journal	Year	Subject	Species	Nr patients	
60	22389122	Yes	" J Julia Shin,"	Heart failure in women.	Clinical cardiology	2012 Mar	Review	Human	na	
61	22635009	No	" Evgenij Potapov,"	Gender differences during mechanical circulatory support.	ASAIO journal (American Society for Artificial Internal Organs : 1992)	2012 Jul-Aug	Management	Human	1456	
62	22100352	No	" Cordelia J Barrick,"	Loss of receptor activity-modifying protein 3 exacerbates cardiac hypertrophy and transition to heart failure in a sex-dependent manner.	Journal of molecular and cellular cardiology	2012 Jan	Pathophysiology	Mouse	NA	
63	22864856	Yes	" Shannon M Dunlay,"	"Gender differences in the pathophysiology, clinical presentation, and outcomes of ischemic heart failure."	Current heart failure reports	2012 Dec	Review	Human	na	
64	22753223	No	" Cesare Russo,"	Arterial stiffness and wave reflection: sex differences and relationship with left ventricular diastolic function.	Hypertension	2012 Aug	Clinical	Human	983	
65	22330611	Yes	" Alon Barsheshet,"	Sex-related differences in patients' responses to heart failure therapy.	Nature reviews. Cardiology	2012 Apr	Review	Human	na	
66	22533631	No	" Jane Robertson,"	The health services burden of heart failure: an analysis using linked population health data-sets.	BMC health services research	2012	Epidemiology	Human	29161	
67	22957296	No	" Danielle M Berard,"	Gender differences in the influence of social support on one-year changes in functional status in older patients with heart failure.	Cardiology research and practice	2012	Outcomes	Human	435	
68	23222645	Yes	" Alexander Klabnik,"	Chronic heart failure in women. Brief review with a focus on new quality markers in therapy.	Polskie Archiwum Medycyny WewnÄ™trznej	2012	Review	Human	na	
69	23027453	Yes	" Ute Seeland,"	Sex and gender differences in cardiovascular drug therapy.	Handbook of experimental pharmacology	2012	Management	Human	na	
70	21913736	No	" Cristiana Vitale,"	"Pattern of use of Î²-blockers in older patients with stable coronary artery disease: an observational, cross-sectional, multicentre survey."	Drugs & aging	2011 Sep 1	Management	Human	2226	
71	21394091	No	" Elisabeth Wehr,"	The lipid accumulation product is associated with increased mortality in normal weight postmenopausal women.	"Obesity (Silver Spring, Md.)"	2011 Sep	Outcomes	Human	3154	
72	21922775	Yes	" Takashi Yokota,"	[New aspects of guidelines for treatment of chronic heart failure (JCS 2010)].	Nihon rinsho. Japanese journal of clinical medicine	2011 Sep	Review	Human	NA	
73	21784624	No	" Thomas Eggeling,"	Baseline severity but not gender modulates quantified Crataegus extract effects in early heart failure--a pooled analysis of clinical trials.	Phytomedicine : international journal of phytotherapy and phytopharmacology	2011 Nov 15	Outcomes	Human	687	
74	22007848	No	" Miresta PrÃ©vilon,"	FKBP12.6 mice display temporal gender differences in cardiac Ca(2+)-signalling phenotype upon chronic pressure overload.	Canadian journal of physiology and pharmacology	2011 Nov	Pathophysiology	Mouse	NA	
75	21993357	Yes	" Dawn C Scantlebury,"	Why are women more likely than men to develop heart failure with preserved ejection fraction?	Current opinion in cardiology	2011 Nov	Review	Human	NA	
76	21609387	No	" George Marzouka,"	Racial and sex differences in prevalence of hypothyroidism in patients with cardiomyopathies enrolled into a heart failure disease management program.	"Congestive heart failure (Greenwich, Conn.)"	2011 May-Jun	Epidemiology	Human	194	
77	21345649	No	" Kyoko Kaku,"	Age- and gender-dependency of left ventricular geometry assessed with real-time three-dimensional transthoracic echocardiography.	Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography	2011 May	Management	Human	280	
78	21371640	No	" Chi Young Shim,"	Sex differences in central hemodynamics and their relationship to left ventricular diastolic function.	Journal of the American College of Cardiology	2011 Mar 8	Clinical	Human	158	
79	22783280	Yes	" Nahid Azad,"	Gender differences in the etiology of heart failure: A systematic review.	Journal of geriatric cardiology : JGC	2011 Mar	Review	Human	na	
80	21461800	Yes	" Vera Regitz-Zagrosek,"	Sex and gender differences in myocardial hypertrophy and heart failure.	Wiener medizinische Wochenschrift (1946)	2011 Mar	Review	Human	NA	
81	21128025	Yes	" Robin E Germany,"	Controversies in cardiac resynchronization therapy: do sex differences in response exist?	Current heart failure reports	2011 Mar	Review	Human	NA	
82	20876737	No	" Peter R Mitoff,"	Cardiac-specific sympathetic activation in men and women with and without heart failure.	Heart (British Cardiac Society)	2011 Mar	Clinical	Human	166	
83	23554675	Yes	" Pei-Chi Yang,"	Gender-based differences in cardiac diseases.	Journal of biomedical research	2011 Mar	REVIEW	Human	n.a.	
84	20202706	No	" G Tasevska-Dinevska,"	"Gender differences in variables related to B-natriuretic peptide, left ventricular ejection fraction and mass, and peak oxygen consumption, in patients with heart failure."	International journal of cardiology	2011 Jun 16	Clinical	Human	930	
85	21529733	No	" Eline A Q Mooyaart,"	Comparison of long-term survival of men versus women with heart failure treated with cardiac resynchronization therapy.	The American journal of cardiology	2011 Jul 1	Outcomes	Human	578	
86	21461560	No	" Martina Delbeck,"	Impaired left-ventricular cardiac function in male GPR30-deficient mice.	Molecular medicine reports	2011 Jan-Feb	Pathophysiology	Mouse	NA	
87	21731804	No	" Abdullah S Assiri,"	"Effect of gender difference in management of heart failure patients in aseer, saudi arabia."	Heart views : the official journal of the Gulf Heart Association	2011 Jan	Clinical	Human	300	
88	19700210	No	" Bjorn Brandsaeter,"	Gender differences among Norwegian patients with heart failure.	International journal of cardiology	2011 Feb 3	Clinical	Human	3632	
89	21118860	No	" Masoud Shafazand,"	"Decreasing trends in the incidence of heart failure after acute myocardial infarction from 1993-2004: a study of 175,216 patients with a first acute myocardial infarction in Sweden."	European journal of heart failure	2011 Feb	Epidemiology	Human	175216	
90	21183250	No	" Gisela Galindo Ortego,"	"[Heart failure patients in Primary Care: aging, comorbidities and polypharmacy]."	Atencion primaria / Sociedad EspaÃ±ola de Medicina de Familia y Comunitaria	2011 Feb	Epidemiology	Human	3017	
91	22567052	Yes	" C GinghinÄƒ,"	A personalized medicine target: heart failure in women.	Journal of medicine and life	2011 Aug 15	Review	Human	na	
92	21784821	No	" Austin G Stack,"	Survival trends of US dialysis patients with heart failure: 1995 to 2005.	Clinical journal of the American Society of Nephrology : CJASN	2011 Aug	Epidemiology	Human	926298	
93	21449884	Yes	" Marina Pierdominici,"	Gender specific aspects of cell death in the cardiovascular system.	Current pharmaceutical design	2011	Review	Human	NA	
94	21449888	Yes	" Stefan Anker,"	Gender related issues in the management of heart failure.	Current pharmaceutical design	2011	Review	Human	NA	
95	21338512	No	" Jennifer A Onyimba,"	The innate immune response to coxsackievirus B3 predicts progression to cardiovascular disease and heart failure in male mice.	Biology of sex differences	2011	Pathophysiology	Mouse	10	
96	20656892	Yes	" Seiichiro Sakao,"	The estrogen paradox in pulmonary arterial hypertension.	American journal of physiology. Lung cellular and molecular physiology	2010 Oct	Review	Human	NA	
97	20654603	No	" Jun Lu,"	Establishment of reference intervals for soluble ST2 from a United States population.	"Clinica chimica acta, international journal of clinical chemistry"	2010 Nov 11	Pathophysiology	Human	490	
98	20031959	No	" Bettina Heidecker,"	The gene expression profile of patients with new-onset heart failure reveals important gender-specific differences.	European heart journal	2010 May	Pathophysiology	Human	43	
99	20447576	No	" Boyoung Hwang,"	Family caregiving for patients with heart failure: types of care provided and gender differences.	Journal of cardiac failure	2010 May	Management	Human	1540	
100	20578593	Yes	" A KlabnÃ­k,"	[Gender differences in non-pharmacological treatment of chronic heart failure].	VnitrÌ†nÃ­ lÃ©karÌ†stvÃ­	2010 May	Review	Human	NA	
101	20173301	No	" Hiroshi Inoue,"	Sex-related differences in the risk factor profile and medications of patients with atrial fibrillation recruited in J-TRACE.	Circulation journal : official journal of the Japanese Circulation Society	2010 Mar 25	Clinical	Human	2892	
102	20223363	Yes	" Maddalena Piro,"	Sex-related differences in myocardial remodeling.	Journal of the American College of Cardiology	2010 Mar 16	Review	Human	na	
103	19829128	Yes	" Giuseppe Mercuro,"	Gender determinants of cardiovascular risk factors and diseases.	"Journal of cardiovascular medicine (Hagerstown, Md.)"	2010 Mar	Review	Human	na	
104	20550064	No	" Edoardo Gronda,"	[Gender differences of at risk patients with overt heart failure in the real world of general practice. Data from the GIPSI (Gestione Integrata Progetto Scompenso in Italia) registry].	Giornale italiano di cardiologia (2006)	2010 Mar	Epidemiology	Human	757	
105	20375266	No	" Daniela Fliegner,"	Female sex and estrogen receptor-beta attenuate cardiac remodeling and apoptosis in pressure overload.	"American journal of physiology. Regulatory, integrative and comparative physiology"	2010 Jun	Pathophysiology	Mouse	NA	
106	20539161	No	" Kyoung Suk Lee,"	Symptom clusters in men and women with heart failure and their impact on cardiac event-free survival.	The Journal of cardiovascular nursing	2010 Jul-Aug	Epidemiology	Human	331	
107	20079902	No	" Barbara Riegel,"	Gender-specific barriers and facilitators to heart failure self-care: a mixed methods study.	International journal of nursing studies	2010 Jul	Management	Human	27	
108	20558892	Yes	" Vera Regitz-Zagrosek,"	Sex and gender differences in myocardial hypertrophy and heart failure.	Circulation journal : official journal of the Japanese Circulation Society	2010 Jul	Review	Human	NA	
109	19783210	No	" Tiew-Hwa Katherine Teng,"	Mild anaemia is associated with increased all-cause mortality in heart failure.	"Heart, lung & circulation"	2010 Jan	Clinical	Human	1000	
110	19939973	No	" Brian L Stauffer,"	Sex differences in endothelin-1-mediated vasoconstrictor tone in middle-aged and older adults.	"American journal of physiology. Regulatory, integrative and comparative physiology"	2010 Feb	Pathophysiology	Human		
111	20237586	No	" C Ruiz-Holst,"	eNOS phosphorylation and translocation are altered in male but not female mice by increased activation of the Galphaq protein.	Canadian journal of physiology and pharmacology	2010 Feb	Pathophysiology	Mouse	na	
112	19879744	No	" P Almagro,"	Comorbidity and gender-related differences in patients hospitalized for COPD. The ECCO study.	Respiratory medicine	2010 Feb	Clinical	Human	398	
113	19933421	No	" Jason D Gardner,"	Estrogen attenuates chronic volume overload induced structural and functional remodeling in male rat hearts.	American journal of physiology. Heart and circulatory physiology	2010 Feb	Pathophysiology	Rat	na	
114	20173268	No	" Kathy Hebert,"	The impact of a standardized disease management program on race/ethnicity and gender disparities in care and mortality.	Journal of health care for the poor and underserved	2010 Feb	Outcomes	Human	837	
115	21111983	No	" Mary Norine Walsh,"	Equitable improvement for women and men in the use of guideline-recommended therapies for heart failure: findings from IMPROVE HF.	Journal of cardiac failure	2010 Dec	Management	Human	15170	
116	20935148	No	" Peter A Watson,"	Cardiac-specific overexpression of dominant-negative CREB leads to increased mortality and mitochondrial dysfunction in female mice.	American journal of physiology. Heart and circulatory physiology	2010 Dec	Pathophysiology	Mouse	NA	
117	19272660	No	" Motoyuki Nakamura,"	Gender-specific risk stratification with plasma B-type natriuretic peptide for future onset of congestive heart failure and mortality in the Japanese general population.	International journal of cardiology	2010 Aug 20	Clinical	Human	13466	
118	20346310	No	" Bonnie Ky,"	Gender differences in cardiac remodeling and clinical outcomes in chronic stable angina pectoris (from the ACTION Trial).	The American journal of cardiology	2010 Apr 1	Epidemiology	Human	7016	
119	20041302	No	" Melissa R Dent,"	Gender differences in apoptotic signaling in heart failure due to volume overload.	Apoptosis : an international journal on programmed cell death	2010 Apr	Pathophysiology	Rat		
120	20176721	No	" Jérôme Thireau,"	New insights into sexual dimorphism during progression of heart failure and rhythm disorders.	Endocrinology	2010 Apr	Pathophysiology	Mouse		
121	20331904	Yes	" Yun-Hee Jeon,"	The experience of living with chronic heart failure: a narrative review of qualitative studies.	BMC health services research	2010	Review	Human		
122	20445744	Yes	" John P Konhilas,"	What we know and do not know about sex and cardiac disease.	Journal of biomedicine & biotechnology	2010	Review	Human	NA	
123	20969758	No	" I Vaartjes,"	Age- and gender-specific risk of death after first hospitalization for heart failure.	BMC public health	2010	Outcomes	Human	29053	
124	19695966	No	" Derek R MacFadden,"	Evaluating sex differences in population-based utilization of implantable cardioverter-defibrillators: role of cardiac conditions and noncardiac comorbidities.	Heart rhythm : the official journal of the Heart Rhythm Society	2009 Sep	Management	Human	9246	
125	19702451	Yes	" Rashmee U Shah,"	"Heart failure in women: epidemiology, biology and treatment."	"Women's health (London, England)"	2009 Sep	Review	Human		
